"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1CAAL0002","CASTRO VALLEY 0.5 WSW, CA US","37.707518","-122.068694","87.5","2012-01",,,"0.00","3,,,N",,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","37.571972","-121.95903","31.1","2019-03",,,"4.46",",,,N",,,,,,
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2012-01","4.0",",W","1.64",",,,X","49.0",",X","61.7",",,,X","36.4",",,,X"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2012-02","5.1",",W","0.62",",,,X","51.5",",X","63.2",",,,X","39.8",",,,X"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2012-03","6.5",",W","2.86",",,,X","52.4",",X","62.8",",,,X","42.0",",,,X"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2012-04","5.8",",W","1.84",",,,X","58.4",",X","70.4",",,,X","46.3",",,,X"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2012-05","7.2",",W","0.04",",,,X","63.7",",X","78.0",",,,X","49.4",",,,X"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2012-06","8.5",",W","0.07",",,,X","68.1",",X","82.8",",,,X","53.4",",,,X"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2012-07","8.1",",W","0.00",",,,X","71.5",",X","87.0",",,,X","56.1",",,,X"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2012-08","7.4",",X","0.00",",,,X","73.5",",X","90.1",",,,X","56.9",",,,X"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","37.6927","-121.8144","119.8","2012-09","5.1",",X","0.00",",,,X","70.7",",X","87.4",",,,X","54.0",",,,X"
