"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2012-01",,,,,"51.2",",U","57.3",",,,U","45.0",",,,U"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2012-02",,,,,"50.3",",U","57.0",",,,U","43.6",",,,U"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2012-03",,,,,"48.9","2,U","55.2","1,,,U","42.7","1,,,U"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2012-04",,,,,"57.6",",U","65.4",",,,U","49.7",",,,U"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2012-07",,,,,"80.1",",U","91.0",",,,U","69.1",",,,U"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2012-08",,,,,"83.7",",U","94.6",",,,U","72.9",",,,U"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2012-09",,,,,"80.3",",U","90.4",",,,U","70.1",",,,U"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2012-10",,,,,"65.9",",U","74.0",",,,U","57.8",",,,U"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2012-11",,,,,"54.9","2,U","60.7","1,,,U","49.2","1,,,U"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2012-12",,,,,"45.6",",U","50.3",",,,U","40.9",",,,U"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2013-01",,,,,"48.1",",U","55.2",",,,U","41.1",",,,U"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2013-02",,,,,"51.4",",U","58.9",",,,U","43.9",",,,U"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2013-03",,,,,"57.1",",U","64.7",",,,U","49.5",",,,U"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2013-04",,,,,"62.6",",U","71.8",",,,U","53.3",",,,U"
