"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2012-01",,,"46.5",",U","61.2",",,,U","31.9",",,,U"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2012-02",,,"48.3",",U","61.3",",,,U","35.3",",,,U"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2012-03",,,"49.1",",U","60.2",",,,U","38.0",",,,U"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2012-04",,,"55.2",",U","68.6",",,,U","41.7",",,,U"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2012-05",,,"65.6",",U","82.0",",,,U","49.2",",,,U"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2012-06",,,"70.4",",U","86.3",",,,U","54.4",",,,U"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2012-07",,,"76.8",",U","93.2",",,,U","60.5",",,,U"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2012-08",,,"79.7",",U","98.0",",,,U","61.4",",,,U"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2012-09",,,"74.9",",U","94.2",",,,U","55.7",",,,U"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2012-10",,,"63.1",",U","78.1",",,,U","48.0",",,,U"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2012-11",,,"53.0",",U","65.3",",,,U","40.6",",,,U"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2012-12",,,"44.1",",U","53.6",",,,U","34.6",",,,U"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-01",,,"45.3",",U","58.8",",,,U","31.8",",,,U"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-02",,,"47.9",",U","63.2",",,,U","32.5",",,,U"
