"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2012-01",,,,,"49.8",",U","55.7",",,,U","43.9",",,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2012-02",,,,,"49.3",",U","55.9",",,,U","42.7",",,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2012-03",,,,,"48.9",",U","55.5",",,,U","42.3",",,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2012-04",,,,,"54.6",",U","62.7",",,,U","46.5",",,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2012-05",,,,,"62.4",",U","71.7",",,,U","53.2",",,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2012-06",,,,,"66.5",",U","77.2",",,,U","55.7",",,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2012-07",,,,,"71.1",",U","80.7",",,,U","61.6",",,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2012-08",,,,,"74.7",",U","83.9",",,,U","65.6",",,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2012-09",,,,,"72.5",",U","81.3",",,,U","63.8",",,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2012-10",,,,,"62.5",",U","69.9",",,,U","55.0",",,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2012-11",,,,,"54.7","2,U","60.0","1,,,U","49.3","1,,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2012-12",,,,,"46.9",",U","52.7",",,,U","41.1",",,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2013-01",,,,,"45.8",",U","52.3",",,,U","39.3",",,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2013-02",,,,,"51.3",",U","60.3",",,,U","42.2",",,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2013-03",,,,,"56.0",",U","65.2",",,,U","46.7",",,,U"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","37.95","-121.8844","487.7","2013-04",,,,,"60.9",",U","71.7",",,,U","50.0",",,,U"
