"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2012-01",,,,,"44.5",",U","51.8",",,,U","37.2",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2012-02",,,,,"45.9",",U","55.1",",,,U","36.8",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2012-03",,,,,"46.5",",U","56.1",",,,U","36.8",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2012-04",,,,,"52.9",",U","62.9",",,,U","42.8",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2012-05",,,,,"59.3",",U","74.3",",,,U","44.2",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2012-06",,,,,"62.4",",U","76.6",",,,U","48.1",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2012-07",,,,,"67.1",",U","81.6",",,,U","52.6",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2012-08",,,,,"68.5",",U","84.9",",,,U","52.1",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2012-09",,,,,"66.3",",U","84.5",",,,U","48.0",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2012-10",,,,,"58.4","1,U","69.3",",,,U","47.5","1,,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2012-11",,,,,"50.2","2,U","57.4","1,,,U","43.0","1,,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2012-12",,,,,"42.7",",U","48.3",",,,U","37.2",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-01",,,,,"42.6",",U","50.1",",,,U","35.1",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-02",,,,,"45.5",",U","55.9",",,,U","35.0",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-03",,,,,"50.2",",U","62.4",",,,U","38.0",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-04",,,,,"55.2",",U","69.2",",,,U","41.3",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-05",,,,,"59.8",",U","73.0",",,,U","46.7",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-06",,,,,"65.4","1,U","80.7",",,,U","50.1","1,,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-07",,,,,"69.8",",U","86.7",",,,U","53.0",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-08",,,,,"67.6",",U","81.9",",,,U","53.3",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-09",,,,,"64.5",",U","77.7",",,,U","51.4",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-10",,,,,"55.8",",U","70.6",",,,U","40.9",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-11",,,,,"48.1",",U","57.5",",,,U","38.7",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-12",,,,,"41.1",",U","48.8",",,,U","33.4",",,,U"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2014-01",,,,,"46.6",",U","55.7",",,,U","37.4",",,,U"
