"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2012-01","4.9",",W","3.88",",,,X","34.5",",X","48.8",",,,X","20.2",",,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2012-02","4.7",",W","1.05",",,,X","32.7",",X","45.2",",,,X","20.1",",,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2012-03","8.7",",W","3.91",",,,X","36.6",",X","47.2",",,,X","26.0",",,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2012-04","5.8",",W","0.93",",,,X","42.3",",X","56.1",",,,X","28.5",",,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2012-05","4.9",",W","0.12",",,,X","48.5",",X","65.0",",,,X","31.9",",,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2012-06","6.5",",W","0.44",",,,X","54.4",",X","70.9",",,,X","37.8",",,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2012-07","4.7",",W","0.40",",,,X","61.2",",X","79.7",",,,X","42.7",",,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2012-08","4.0","2,X","0.16",",,,X","63.2","2,X","82.4","2,,,X","44.0","2,,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2012-09","3.6",",X","0.16",",,,X","57.1",",X","76.8",",,,X","37.4",",,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2012-10","4.5",",X","0.82",",,,X","46.7",",X","63.0",",,,X","30.4",",,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2012-11","5.6",",X","4.25",",,,X","38.8",",X","51.5",",,,X","26.1",",,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2012-12","6.7",",X","5.37",",,,X","29.2",",X","40.6",",,,X","17.8",",,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2013-01","3.1",",X","0.73",",,,X","25.8",",X","42.3",",,,X","9.2",",,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2013-02","4.0",",X","0.19",",,,X","30.9",",X","44.5",",,,X","17.2",",,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2013-03","4.5",",X","1.34",",,,X","40.0",",X","53.4",",,,X","26.7",",,,X"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2013-04",,,"0.70",",,,A","44.7",",A","58.9",",,,A","30.4",",,,A"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2013-05",,,"1.81",",,,A","49.3",",A","64.2",",,,A","34.4",",,,A"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2014-01","3.4",",W","2.27",",,,W","36.3",",W","51.2",",,,W","21.4",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2014-02","6.3",",W","5.98",",,,W","37.1",",W","48.1",",,,W","26.1",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2014-03","5.6","2,W","2.11",",,,W","39.4","1,W","52.0","1,,,W","26.8","1,,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2014-04","5.1","2,W","0.76",",,,W","44.0","2,W","58.9","2,,,W","29.2","2,,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2014-05","6.3",",W","1.30",",,,W","50.2",",W","65.5",",,,W","34.8",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2014-06","5.6",",W","0.02",",,,W","57.8",",W","76.7",",,,W","38.8",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2014-07","4.3","1,W","0.61",",,,W","67.0",",W","85.1",",,,W","49.0",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2014-08","4.5",",W","1.69",",,,W","62.2",",W","79.2",",,,W","45.2",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2014-09","4.7",",W","1.83",",,,W","57.8",",W","75.3",",,,W","40.3",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2014-10","4.9",",W","0.39",",,,W","50.1",",W","67.8",",,,W","32.4",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2014-11","4.9",",W","1.02",",,,W","42.2",",W","56.2",",,,W","28.3",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2014-12","5.6",",W","2.40",",,,W","35.7",",W","45.4",",,,W","25.9",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2015-01","2.9",",W","0.10",",,,W","38.1",",W","51.9",",,,W","24.4",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2015-02","5.1",",W","4.25",",,,W","40.9",",W","54.7",",,,W","27.1",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2015-03","4.9",",W","0.16",",,,W","43.2",",W","58.7",",,,W","27.8",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2015-04","5.8",",W","1.35",",,,W","43.0",",W","57.6",",,,W","28.4",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2015-05","4.5",",W","2.00",",,,W","49.1",",W","61.9",",,,W","36.3",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2015-06","4.9",",W","1.35",",,,W","61.5",",W","79.5",",,,W","43.6",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2015-07","4.3",",W","0.94",",,,W","62.4",",W","78.7",",,,W","46.1",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2015-08","5.1",",W","0.11",",,,W","62.8",",W","82.4",",,,W","43.2",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2015-09","4.9",",W","0.11",",,,W","58.6",",W","76.6",",,,W","40.5",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2015-10","3.8",",W","1.26",",,,W","51.1",",W","66.8",",,,W","35.5",",,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2015-11","4.3","1,W","2.38",",,,W","33.2","1,W","46.9",",,,W","19.5","1,,,W"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2015-12","6.9",",W","4.44",",,,W",,,,,,
