"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2012-01",,,"46.4",",U","54.4",",,,U","38.4",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2012-02",,,"43.3",",U","52.2",",,,U","34.5",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2012-03",,,"40.1",",U","47.6",",,,U","32.7",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2012-04",,,"48.3",",U","57.3",",,,U","39.3",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2012-05",,,"59.6",",U","70.8",",,,U","48.3",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2012-06",,,"63.6",",U","74.6",",,,U","52.6",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2012-07",,,"72.1",",U","82.9",",,,U","61.3",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2012-08",,,"76.9",",U","87.7",",,,U","66.3",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2012-09",,,"72.6",",U","83.4",",,,U","61.8",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2012-10",,,"58.7",",U","67.9",",,,U","49.5",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2012-11",,,"47.5",",U","54.3",",,,U","40.7",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2012-12",,,"38.7",",U","44.8",",,,U","32.6",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-01",,,"44.5",",U","53.7",",,,U","35.3",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-02",,,"44.8",",U","53.8",",,,U","35.7",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-03",,,"48.6",",U","57.5",",,,U","39.7",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04",,,"54.0","1,U","63.7","1,,,U","44.2","1,,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-05",,,"58.3",",U","67.7",",,,U","48.8",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2014-01",,,"51.9",",U","59.4",",,,U","44.5",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2014-02",,,"43.5",",U","49.6",",,,U","37.4",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2014-03",,,"46.5",",U","53.6",",,,U","39.5",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2014-04",,,"52.1",",U","60.7",",,,U","43.5",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2014-05",,,"60.3",",U","70.6",",,,U","50.0",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2014-06",,,"69.6",",U","80.2",",,,U","59.0",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2014-07",,,"77.0",",U","87.0",",,,U","67.0",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2014-08",,,"72.9",",U","82.5",",,,U","63.3",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2014-09",,,"68.7",",U","77.7",",,,U","59.7",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2014-10",,,"59.7",",U","67.9",",,,U","51.5",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2014-11",,,"49.9",",U","56.6",",,,U","43.2",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2014-12",,,"40.8",",U","45.4",",,,U","36.1",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2015-01",,,"51.3",",U","58.2",",,,U","44.4",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2015-02",,,"51.2",",U","58.4",",,,U","43.9",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2015-03",,,"53.1",",U","61.2",",,,U","45.0",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2015-04",,,"51.6",",U","61.5",",,,U","41.7",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2015-05",,,"57.0",",U","65.7",",,,U","48.4",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2015-06",,,"73.1",",U","83.9",",,,U","62.4",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2015-07",,,"72.9",",U","82.2",",,,U","63.7",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2015-08",,,"72.4",",U","82.0",",,,U","62.7",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2015-09",,,"68.3",",U","77.3",",,,U","59.4",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2015-10",,,"62.9",",U","71.3",",,,U","54.5",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2015-11",,,"43.9","2,U","51.3","1,,,U","36.4","1,,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2015-12",,,"36.8",",U","42.4",",,,U","31.2",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2016-01",,,"38.1",",U","43.3",",,,U","33.0",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2016-02",,,"49.2","2,U","56.3","2,,,U","42.0","2,,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2016-03",,,"44.7",",U","51.4",",,,U","38.0",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2016-04",,,"52.1",",U","60.5",",,,U","43.8",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2016-05",,,"57.0",",U","65.3",",,,U","48.8",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2016-06",,,"68.8",",U","78.4",",,,U","59.1",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2016-07",,,"74.0",",U","83.7",",,,U","64.3",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2016-08",,,"75.3",",U","85.4",",,,U","65.3",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2016-09",,,"68.6",",U","78.6",",,,U","58.7",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2016-10",,,"52.3",",U","58.6",",,,U","46.0",",,,U"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2016-11",,,"46.5",",U","52.6",",,,U","40.4",",,,U"
