"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2012-01",,,"0.01",",,,R","53.2",",R","65.9",",,,R","40.6",",,,R"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2012-02",,,"0.00",",,,R","60.5","1,R","71.9","1,,,R","49.0","1,,,R"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2012-03",,,"0.00",",,,R","66.5",",R","79.0",",,,R","54.0",",,,R"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2012-04",,,"0.13",",,,R","77.9","1,R","90.1","1,,,R","65.7","1,,,R"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2012-05",,,"0.00",",,,R","88.9",",R","102.2",",,,R","75.7",",,,R"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2012-06",,,"0.00",",,,R","96.5","1,R","110.2","1,,,R","82.7","1,,,R"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2012-07",,,"0.27",",,,R","99.8",",R","113.2",",,,R","86.4",",,,R"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2012-08",,,"0.29",",,,R","103.5",",R","114.9",",,,R","92.0",",,,R"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2012-09",,,"0.00",",,,R","94.5",",R","107.1",",,,R","82.1",",,,R"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2012-10",,,"0.30",",,,R","77.8",",R","89.9",",,,R","65.7",",,,R"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2012-11",,,"0.00",",,,R","63.8",",R","75.6",",,,R","51.9",",,,R"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2012-12",,,"0.03",",,,R","54.1",",R","64.1",",,,R","44.0",",,,R"
