"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2013-07",,,,,"83.8",",U","99.4",",,,U","68.2",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2013-08",,,,,"78.9",",U","95.1",",,,U","62.7",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2013-09",,,,,"73.2",",U","88.5",",,,U","57.8",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2013-10",,,,,"61.5",",U","77.4",",,,U","45.5",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2013-11",,,,,"55.6",",U","69.0",",,,U","42.2",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2013-12",,,,,"47.6",",U","61.2",",,,U","33.9",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2014-01",,,,,"53.1",",U","67.6",",,,U","38.7",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2014-02",,,,,"52.1",",U","63.6",",,,U","40.6",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2014-03",,,,,"56.1",",U","69.7",",,,U","42.5",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2014-04",,,,,"59.9",",U","74.4",",,,U","45.3",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2014-05",,,,,"67.4",",U","82.6",",,,U","52.1",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2014-06",,,,,"76.6",",U","92.9",",,,U","60.2",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2014-07",,,,,"83.4",",U","98.5",",,,U","68.3",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2014-08",,,,,"79.9",",U","95.9",",,,U","63.9",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2014-09",,,,,"76.1",",U","91.7",",,,U","60.6",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2014-10",,,,,"67.5",",U","83.7",",,,U","51.3",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2014-11",,,,,"56.6",",U","69.8",",,,U","43.3",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2014-12",,,,,"48.2",",U","58.2",",,,U","38.2",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2015-01",,,,,"51.3",",U","64.5",",,,U","38.0",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2015-02",,,,,"55.3",",U","70.1",",,,U","40.4",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2015-03",,,,,"58.4",",U","73.1",",,,U","43.6",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2015-04",,,,,"58.9",",U","73.8",",,,U","44.0",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2015-05",,,,,"63.8",",U","76.7",",,,U","51.0",",,,U"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2015-06",,,,,"78.3",",U","94.0",",,,U","62.6",",,,U"
