"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2013-01",,,"21.6",",U","41.1",",,,U","2.2",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2013-02",,,"28.6",",U","47.7",",,,U","9.4",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2013-03",,,"37.4",",U","53.1",",,,U","21.7",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2013-04",,,"43.0",",U","59.1",",,,U","26.8",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2013-05",,,"48.5",",U","66.1",",,,U","31.0",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2013-06",,,"56.6",",U","77.7",",,,U","35.5",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2013-07",,,"64.5",",U","88.9",",,,U","40.2",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2013-08",,,"59.4",",U","83.3",",,,U","35.5",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2013-09",,,"53.6",",U","73.6",",,,U","33.6",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2013-10",,,"42.6",",U","63.9",",,,U","21.3",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2013-11",,,"37.7",",U","55.3",",,,U","20.0",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2013-12",,,"26.9",",U","47.6",",,,U","6.3",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2014-01",,,"34.6",",U","53.5",",,,U","15.7",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2014-02",,,"35.3",",U","47.8",",,,U","22.8",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2014-03",,,"38.0",",U","52.7",",,,U","23.3",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2014-04",,,"42.7",",U","60.7",",,,U","24.6",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2014-05",,,"48.7",",U","68.0",",,,U","29.5",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2014-06",,,"55.7",",U","77.6",",,,U","33.7",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2014-07",,,"65.8",",U","88.1",",,,U","43.4",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2014-08",,,"60.7",",U","82.3",",,,U","39.2",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2014-09",,,"55.8",",U","77.5",",,,U","34.1",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2014-10",,,"48.0",",U","67.4",",,,U","28.7",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2014-11",,,"38.5",",U","53.1",",,,U","23.8",",,,U"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2014-12",,,"33.5",",U","41.7",",,,U","25.4",",,,U"
