"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2017-01",,,"10.76",",,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2017-03",,,"0.34",",,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2017-04",,,"0.06","1,,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2017-05",,,"0.48",",a,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2017-06",,,"0.00",",,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2017-07",,,"0.00",",T,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2017-08",,,"0.04",",,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2017-09",,,"0.17",",,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2017-10",,,"0.12",",,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2017-11",,,"0.02",",,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2017-12",,,"0.00",",,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2018-01",,,"2.31",",,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2018-02",,,"0.34",",,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2018-03",,,"4.74",",a,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2018-04",,,"0.00",",,,N",,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2018-05",,,"0.45",",a,,N",,,,,,
