"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2013-01","0.96",",,,7","31.8",",7","42.3",",,,7","21.4",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2013-02","0.83",",,,7","34.8",",7","46.2",",,,7","23.4",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2013-03","2.65",",,,7","41.7",",7","53.7",",,,7","29.7",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2013-04","1.22",",,,7","46.5",",7","60.0",",,,7","33.0",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2013-05","1.04","1,,,7","51.7","1,7","64.5","1,,,7","38.8","1,,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2013-06","0.00","1,,,7","62.1","1,7","77.4","1,,,7","46.8","1,,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2013-07","0.51",",,,7","68.6",",7","83.7",",,,7","53.5",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2013-08","0.02",",,,7","63.9",",7","79.6",",,,7","48.1",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2013-09","0.00","4,,,7","59.7","4,7","73.9","4,,,7","45.4","4,,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2013-10","1.33","4,,,7","47.2","4,7","60.2","4,,,7","34.2","4,,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2013-11","1.31",",,,7","42.9",",7","54.2",",,,7","31.5",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2013-12","0.97",",,,7","35.8",",7","46.2",",,,7","25.4",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2014-01","1.90",",,,7","43.1",",7","54.8",",,,7","31.4",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2014-02","3.47",",,,7","37.9",",7","47.5",",,,7","28.3",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2014-03","3.41",",,,7","41.4",",7","52.7",",,,7","30.2",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2014-04","2.91",",,,7","44.6",",7","57.1",",,,7","32.2",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2014-05","0.57",",,,7","52.2",",7","66.3",",,,7","38.2",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2014-06","0.06",",,,7","61.1",",7","77.0",",,,7","45.2",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2014-07","0.26",",,,7","68.4",",7","81.7",",,,7","55.0",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2014-08","0.09",",,,7","66.1",",7","80.8",",,,7","51.3",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2014-09","1.18",",,,7","62.0",",7","76.2",",,,7","47.9",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2014-10","0.00",",,,7","55.2",",7","69.4",",,,7","41.0",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2014-11","1.91",",,,7","44.3",",7","56.6",",,,7","32.0",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2014-12","7.28","2,,,7","37.8","2,7","45.8","2,,,7","29.7","2,,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2015-01","0.15",",,,7","41.7",",7","54.0",",,,7","29.4",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2015-02","3.08",",,,7","44.2",",7","56.6",",,,7","31.7",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2015-03","0.31","2,,,7","45.3","2,7","58.7","2,,,7","31.9","2,,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2015-04","2.97","1,,,7","44.3","1,7","57.1","1,,,7","31.5","1,,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2015-05","1.69",",,,7","48.4",",7","59.6",",,,7","37.2",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2015-06","0.01",",,,7","63.9",",7","78.7",",,,7","49.1",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2015-07","2.61",",,,7","65.4",",7","79.3",",,,7","51.6",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2015-08","0.03",",,,7","67.0",",7","82.2",",,,7","51.8",",,,7"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2015-09","0.38","1,,,7","62.1","1,7","75.9","1,,,7","48.4","1,,,7"
