"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2013-01",,,"0.93",",,,7","45.6",",7","56.4",",,,7","34.8",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2013-02",,,"0.16",",,,7","50.3",",7","62.8",",,,7","37.8",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2013-03",,,"0.32",",,,7","60.4",",7","73.6",",,,7","47.2",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2013-04",,,"0.53",",,,7","66.1",",7","79.6",",,,7","52.6",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2013-05",,,"0.00",",,,7","71.3",",7","84.8",",,,7","57.7",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2013-06",,,"0.00",",,,7","76.6","2,7","91.8",",,,7","61.4","2,,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2013-07",,,"0.00",",,,7","80.1",",7","95.9",",,,7","64.3",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2013-08",,,"0.00",",,,7","77.1","1,7","92.6","1,,,7","61.6","1,,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2013-09",,,"0.00","1,,,7","73.3",",7","87.0",",,,7","59.7",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2013-10",,,"0.03",",,,7","64.6",",7","78.3",",,,7","51.0",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2013-11",,,"0.31","1,,,7","56.4",",7","68.3",",,,7","44.5",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2013-12",,,"0.25",",,,7","45.8",",7","58.6",",,,7","33.0",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2014-01",,,"0.32",",,,7","51.6",",7","65.5",",,,7","37.7",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2014-02",,,"1.75",",a,,7","53.7",",7","63.9",",,,7","43.4",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2014-03",,,"1.08",",,,7","60.5",",7","72.0",",,,7","49.0",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2014-04",,,"0.65",",,,7","64.1",",7","76.6",",,,7","51.6",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2014-05",,,"0.00",",,,7","71.8",",7","85.5",",,,7","58.1",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2014-06",,,"0.00",",,,7","76.3",",7","91.6",",,,7","61.0",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2014-07",,,"0.00",",,,7","81.3",",7","95.9",",,,7","66.6",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2014-08",,,"0.00",",,,7","78.7",",7","94.2",",,,7","63.2",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2014-09",,,"0.00",",,,7","76.7",",7","91.7",",,,7","61.8",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2014-10",,,"0.00",",,,7","70.2",",7","84.7",",,,7","55.7",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2014-11",,,"1.29",",,,7","57.1",",7","67.7",",,,7","46.6",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2014-12",,,"3.76",",,,7","52.3",",7","59.8",",,,7","44.9",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2015-01",,,"0.01",",,,7","47.4",",7","56.6",",,,7","38.3",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2015-02",,,"0.71",",,,7","56.4",",7","67.9",",,,7","44.9",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2015-03",,,"0.38",",,,7","62.2",",7","75.9",",,,7","48.5",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2015-04",,,"0.38",",,,7","62.6",",7","76.0",",,,7","49.2",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2015-05",,,"0.00",",T,,7","65.0",",7","78.2",",,,7","51.9",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2015-06",,,"0.00",",T,,7","78.3",",7","93.8",",,,7","62.8",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2015-07",,,"0.00",",,,7","79.6",",7","94.2",",,,7","65.1",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2015-08",,,"0.12",",,,7","78.7",",7","94.6",",,,7","62.9",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2015-09",,,"0.00",",,,7","76.4",",7","90.8",",,,7","62.1",",,,7"
"USC00045118","LOS BANOS, CA US","37.0563","-120.8666","36.6","2015-10",,,"0.44",",a,,7","71.3",",7","84.3",",,,7","58.3",",,,7"
