"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2013-01",,,,,"45.4",",U","60.6",",,,U","30.3",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2013-02",,,,,"48.5",",U","64.7",",,,U","32.2",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2013-03",,,,,"58.2",",U","75.8",",,,U","40.6",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2013-04",,,,,"63.5",",U","81.5",",,,U","45.6",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2013-05",,,,,"67.2",",U","84.9",",,,U","49.4",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2013-06",,,,,"73.7",",U","93.1",",,,U","54.4",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2013-07",,,,,"76.6",",U","98.1",",,,U","55.2",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2013-08",,,,,"75.5",",U","94.9",",,,U","56.1",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2013-09",,,,,"71.4",",U","89.5",",,,U","53.3",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2013-10",,,,,"61.5",",U","81.3",",,,U","41.7",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2013-11",,,,,"55.4",",U","72.5",",,,U","38.3",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2013-12",,,,,"45.6",",U","65.4",",,,U","25.8",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2014-01",,,,,"53.1",",U","72.7",",,,U","33.5",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2014-02",,,,,"54.2",",U","67.7",",,,U","40.7",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2014-03",,,,,"58.9",",U","74.1",",,,U","43.6",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2014-04",,,,,"62.3",",U","79.2",",,,U","45.4",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2014-05",,,,,"68.3",",U","86.7",",,,U","49.8",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2014-06",,,,,"72.6",",U","92.6",",,,U","52.5",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2014-07",,,,,"77.8",",U","97.6",",,,U","57.9",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2014-08",,,,,"75.3",",U","94.2",",,,U","56.3",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2014-09",,,,,"74.6",",U","93.1",",,,U","56.0",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2014-10",,,,,"66.7",",U","85.8",",,,U","47.7",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2014-11",,,,,"57.4",",U","72.3",",,,U","42.5",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2014-12",,,,,"52.1",",U","60.7",",,,U","43.5",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2015-01",,,,,"49.7",",U","64.6",",,,U","34.9",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2015-02",,,,,"54.7",",U","68.9",",,,U","40.5",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2015-03",,,,,"59.9",",U","79.1",",,,U","40.8",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2015-04",,,,,"60.2",",U","78.6",",,,U","41.8",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2015-05",,,,,"63.1",",U","78.5",",,,U","47.7",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2015-06",,,,,"73.8",",U","94.3",",,,U","53.2",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2015-07",,,,,"75.9",",U","93.8",",,,U","58.0",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2015-08",,,,,"77.3",",U","96.4",",,,U","58.3",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2015-09",,,,,"73.8",",U","93.8",",,,U","53.9",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2015-10",,,,,"69.3",",U","86.8",",,,U","51.8",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2015-11",,,,,"50.0",",U","66.9",",,,U","33.1",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2015-12",,,,,"44.9",",U","59.6",",,,U","30.1",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2016-01",,,,,"50.7",",U","60.8",",,,U","40.6",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2016-02",,,,,"54.1","2,U","72.5","2,,,U","35.6","2,,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2016-03",,,,,"56.6",",U","70.9",",,,U","42.2",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2016-04",,,,,"61.5",",U","78.5",",,,U","44.5",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2016-05",,,,,"66.3",",U","83.4",",,,U","49.2",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2016-06",,,,,"74.0",",U","94.9",",,,U","53.1",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2016-07",,,,,"76.1",",U","98.5",",,,U","53.7",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2016-08",,,,,"74.8",",U","95.6",",,,U","54.0",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2016-09",,,,,"70.1",",U","90.8",",,,U","49.4",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2016-10",,,,,"62.5",",U","79.5",",,,U","45.6",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2016-11",,,,,"56.2",",U","71.7",",,,U","40.6",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2016-12",,,,,"47.2",",U","60.4",",,,U","34.0",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2017-01",,,,,"47.6",",U","58.6",",,,U","36.5",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2017-02",,,,,"51.9",",U","61.6",",,,U","42.3",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2017-03",,,,,"56.0",",U","72.2",",,,U","39.8",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2017-04",,,,,"59.3",",U","75.1",",,,U","43.4",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2017-05",,,,,"65.7",",U","83.5",",,,U","47.9",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2017-06",,,,,"73.1",",U","93.3",",,,U","53.0",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2017-07",,,,,"77.1",",U","99.6",",,,U","54.6",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2017-08",,,,,"77.7",",U","97.5",",,,U","58.0",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2017-09",,,,,"72.0",",U","89.9",",,,U","54.2",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2017-10",,,,,"63.6",",U","84.9",",,,U","42.3",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2017-11",,,,,"56.6",",U","72.1",",,,U","41.2",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2017-12",,,,,"47.7",",U","69.2",",,,U","26.1",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2018-01",,,,,"52.8",",U","66.0",",,,U","39.7",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2018-02",,,,,"49.5",",U","69.0",",,,U","29.9",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2018-03",,,,,"53.1",",U","67.2",",,,U","39.1",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2018-04",,,,,"59.6",",U","76.6",",,,U","42.5",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2018-05",,,,,"64.1",",U","80.4",",,,U","47.8",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2018-06",,,,,"70.9",",U","91.0",",,,U","50.8",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2018-07",,,,,"78.0",",U","99.2",",,,U","56.8",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2018-08",,,,,"75.6",",U","96.6",",,,U","54.6",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2018-09",,,,,"70.9",",U","92.7",",,,U","49.2",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2018-10",,,,,"64.0",",U","82.8",",,,U","45.2",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2018-11",,,,,"55.4",",U","74.4",",,,U","36.4",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2018-12",,,,,"48.4",",U","60.7",",,,U","36.1",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2019-01",,,,,"50.1",",U","62.6",",,,U","37.7",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2019-02",,,,,"45.7",",U","57.6",",,,U","33.8",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2019-03",,,,,"52.7",",U","66.6",",,,U","38.7",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2019-04",,,,,"61.3",",U","78.2",",,,U","44.4",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2019-05",,,,,"62.3",",U","76.7",",,,U","47.9",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2019-06",,,,,"72.7",",U","93.0",",,,U","52.4",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2019-07",,,,,"75.3",",U","95.7",",,,U","55.0",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2019-08",,,,,"76.6",",U","97.0",",,,U","56.2",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2019-09",,,,,"71.1",",U","91.0",",,,U","51.3",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2019-10",,,,,"61.1",",U","83.9",",,,U","38.3",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2019-11",,,,,"55.0",",U","74.6",",,,U","35.4",",,,U"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2019-12",,,,,"50.1",",U","59.9",",,,U","40.4",",,,U"
