"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2012-04",,,"3.63",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2012-05",,,"0.30",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2012-06",,,"0.00",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2012-07",,,"0.00","1,,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2012-08",,,"0.00","1,,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2012-09",,,"0.00",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2012-10",,,"2.99",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2012-11",,,"11.90","1,,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2012-12",,,"16.77",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2013-01",,,"1.13","3,,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2013-03",,,"3.52",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2013-04",,,"1.89",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2013-05",,,"0.22","1,,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2013-06",,,"2.44",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2013-07",,,"0.00",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2013-08",,,"0.04","1,,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2013-09",,,"1.85",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2013-10",,,"0.44",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2013-11",,,"1.46",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2013-12",,,"0.97","1,,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2014-01",,,"1.69",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2014-02",,,"17.13",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2014-03",,,"7.28","3,a,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2014-04",,,"2.00","1,,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2014-05",,,"0.39",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2014-06",,,"0.00",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2014-07",,,"0.00",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2014-08",,,"0.11",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2014-09",,,"1.27",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2014-10",,,"1.87",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2014-11",,,"5.11","1,,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2014-12",,,"15.85",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2015-01",,,"0.03",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2015-02",,,"6.30",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2015-03",,,"1.01","1,,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2015-04",,,"3.38",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2015-05",,,"0.13","1,,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2015-06",,,"0.23",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2015-07",,,"0.00",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2015-08",,,"0.00",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2015-09",,,"0.09","1,,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2015-10",,,"1.14",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2015-11",,,"4.80","2,,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2015-12",,,"14.52",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2016-01",,,"16.32","1,,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2016-02",,,"2.41",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2016-03",,,"13.93",",a,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2016-04",,,"2.83",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2016-05",,,"1.00",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2016-06",,,"0.00",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2016-07",,,"0.00",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2016-08",,,"0.00",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2016-09",,,"0.00",",,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2016-10",,,"11.07","4,a,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2016-11",,,"7.80",",a,,N",,,,,,
"US1CANV0034","GRASS VALLEY 4.2 SE, CA US","39.18630556","-120.9930278","848.6","2016-12",,,"9.07",",,,N",,,,,,
