"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1CAOR0025","IRVINE 2.9 WSW, CA US","33.639927","-117.838067","58.8","2019-02",,,"7.37",",,,N",,,,,,
"US1CAOR0047","MISSION VIEJO 3.1 SSE, CA US","33.569187","-117.636234","164.0","2018-09",,,"0.00","3,,,N",,,,,,
"US1CAOR0047","MISSION VIEJO 3.1 SSE, CA US","33.569187","-117.636234","164.0","2019-08",,,"0.00",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2012-12",,,"3.02","1,,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2013-01",,,"1.05",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2013-02",,,"0.62",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2013-03",,,"0.94",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2013-04",,,"0.05",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2013-10",,,"1.36",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2013-11",,,"1.55",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2013-12",,,"0.66",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2014-07",,,"0.05",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2014-08",,,"0.06",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2014-09",,,"0.00",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2014-10",,,"0.00",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2014-11",,,"0.39",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2015-01",,,"1.06","1,,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2015-02",,,"0.86",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2016-02",,,"0.35",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2016-10",,,"0.38",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2016-11",,,"2.41",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2016-12",,,"3.57",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2017-03",,,"0.03",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2017-04",,,"0.10",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2017-05",,,"0.75",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2017-10",,,"0.05",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2017-11",,,"0.38",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2017-12",,,"0.00",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2018-01",,,"1.97",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2018-02",,,"0.53",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2018-03",,,"2.00",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2018-04",,,"0.00",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2018-10",,,"0.20",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2018-11",,,"2.24",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2019-10",,,"0.00",",,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2019-11",,,"0.32","3,,,N",,,,,,
"US1CAOR0005","LAGUNA NIGUEL 0.9 W, CA US","33.528493","-117.720284","145.4","2019-12",,,"5.07","1,,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2012-01",,,"1.09",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2012-02",,,"0.58",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2012-03",,,"1.49",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2012-04",,,"1.64",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2012-05",,,"0.10","1,,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2012-06",,,"0.00",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2012-07",,,"0.21",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2012-08",,,"0.00",",T,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2012-09",,,"0.00","1,,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2012-10",,,"0.09",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2012-11",,,"0.67",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2012-12",,,"2.01",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2013-01",,,"1.29",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2013-02",,,"0.36",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2013-03",,,"0.54",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2013-04",,,"0.02",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2013-05",,,"0.55",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2013-06",,,"0.00",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2013-07",,,"0.03",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2013-08",,,"0.00","2,,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2013-09",,,"0.00",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2013-10",,,"0.19",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2013-11",,,"0.46",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2013-12",,,"0.63",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2014-01",,,"0.01",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2014-02",,,"0.66",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2014-03",,,"1.48",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2014-04",,,"0.35",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2014-05",,,"0.00",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2014-06",,,"0.00",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2014-07",,,"0.00",",T,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2014-08",,,"0.05",",,,N",,,,,,
"US1CAOR0027","IRVINE 4.1 NNE, CA US","33.718295","-117.772144","46.3","2014-09",,,"0.00",",,,N",,,,,,
