"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2012","6.7","T","70.37"," ,T","43.5","T","50.3","T","36.7","T"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2013","6.0","T","23.18"," ,T","43.9","T","51.2","T","36.5","T"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2014","6.9","T","48.35"," ,T","45.0","T","51.7","T","38.4","T"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2015","6.0","T","43.08"," ,T","44.9","T","51.7","T","38.0","T"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2016","6.9","T","73.15"," ,T","44.2","T","51.0","T","37.4","T"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2017","6.5","T","99.05"," ,T","44.0","T","50.7","T","37.2","T"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2018",,,"46.57"," ,T","44.3","T","51.4","T","37.2","T"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2019","6.7","T","69.57"," ,T","42.0","T","48.6","T","35.3","T"
"USR0000CDUN","DUNCAN CALIFORNIA, CA US","39.1439","-120.5089","2164.1","2015",,,,,,,,,,
"USR0000CDUN","DUNCAN CALIFORNIA, CA US","39.1439","-120.5089","2164.1","2017",,,,,"48.8","U","55.6","U","42.0","U"
"USR0000CDUN","DUNCAN CALIFORNIA, CA US","39.1439","-120.5089","2164.1","2018",,,,,"49.4","U","56.7","U","42.1","U"
"USC00041912","COLFAX, CA US","39.0901","-120.947","723.3","2012",,,"60.25"," ,7","60.4","7","72.8","7","48.0","7"
"USC00041912","COLFAX, CA US","39.0901","-120.947","723.3","2013",,,"12.92"," ,7",,,,,,
"USC00041912","COLFAX, CA US","39.0901","-120.947","723.3","2014",,,"46.19"," ,7","62.7","7","75.4","7","49.9","7"
"USC00041912","COLFAX, CA US","39.0901","-120.947","723.3","2015",,,"25.72"," ,7","62.8","7","76.3","7","49.4","7"
"USC00041912","COLFAX, CA US","39.0901","-120.947","723.3","2016",,,"57.39"," ,7","60.5","7","73.1","7","47.8","7"
"USC00041912","COLFAX, CA US","39.0901","-120.947","723.3","2017",,,"67.79"," ,7","60.5","7","72.4","7","48.5","7"
"USC00041912","COLFAX, CA US","39.0901","-120.947","723.3","2018",,,"44.01"," ,7","61.1","7","73.9","7","48.3","7"
"USC00041912","COLFAX, CA US","39.0901","-120.947","723.3","2019",,,"59.75"," ,7","59.0","7","70.5","7","47.4","7"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2012",,,"44.78"," ,T","46.6","T","57.4","T","35.9","T"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2013",,,"11.38"," ,T","46.6","T","57.8","T","35.4","T"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2014",,,"30.95"," ,T","47.9","T","58.4","T","37.4","T"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2015",,,"29.47"," ,T","47.8","T","58.5","T","37.1","T"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2016",,,"47.67"," ,T","47.0","T","57.6","T","36.4","T"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2017",,,"66.96"," ,T","46.5","T","56.8","T","36.1","T"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2018",,,"35.68"," ,T","46.9","T","57.6","T","36.2","T"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2019",,,"53.87"," ,T","45.0","T","55.3","T","34.8","T"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2012",,,"81.18"," ,T","44.6","T","57.8","T","31.4","T"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2013",,,"23.06"," ,T","44.5","T","58.5","T","30.5","T"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2014",,,"56.38"," ,T","46.0","T","59.1","T","33.0","T"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2015",,,"50.48"," ,T","45.8","T","59.0","T","32.5","T"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2016",,,"86.57"," ,T","45.2","T","58.2","T","32.2","T"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2017",,,"124.28"," ,T","44.6","T","57.5","T","31.7","T"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2018",,,"60.98"," ,T","45.1","T","58.7","T","31.5","T"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2019",,,"92.67"," ,T","43.1","T","55.9","T","30.4","T"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2012",,,,,"62.4","U","76.5","U","48.3","U"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2013",,,,,"62.3","U","77.7","U","46.9","U"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2014",,,,,"64.7","U","78.8","U","50.5","U"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2015",,,,,"63.7","U","77.9","U","49.5","U"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2016",,,,,"63.1","U","76.8","U","49.5","U"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2017",,,,,"63.5","U","77.0","U","49.9","U"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2018",,,,,"62.7","U","77.4","U","47.9","U"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2019",,,,,"62.6","U","76.3","U","48.8","U"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2012",,,"41.34"," ,T","47.6","T","58.7","T","36.4","T"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2013",,,"8.67"," ,T","47.2","T","58.9","T","35.6","T"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2014",,,"28.25"," ,T","49.1","T","60.4","T","37.8","T"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2015",,,"27.47"," ,T","48.7","T","60.0","T","37.3","T"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2016",,,"42.98"," ,T","47.8","T","58.8","T","36.8","T"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2017",,,"66.26"," ,T","47.3","T","58.1","T","36.4","T"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2018",,,"29.78"," ,T","47.6","T","58.9","T","36.4","T"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2019",,,"51.54"," ,T","45.5","T","56.0","T","35.0","T"
"USW00023225","BLUE CANYON NYACK AIRPORT, CA US","39.2774","-120.7102","1608.1","2012","6.0","X","73.85"," ,X","52.8","X","59.3","X","46.2","X"
"USW00023225","BLUE CANYON NYACK AIRPORT, CA US","39.2774","-120.7102","1608.1","2013",,,,,,,,,,
"USW00023225","BLUE CANYON NYACK AIRPORT, CA US","39.2774","-120.7102","1608.1","2014","6.0","W","62.33"," ,W","54.7","W","61.4","W","48.1","W"
"USW00023225","BLUE CANYON NYACK AIRPORT, CA US","39.2774","-120.7102","1608.1","2015","5.6","W","31.59"," ,W","54.8","W","61.7","W","47.8","W"
"USW00023225","BLUE CANYON NYACK AIRPORT, CA US","39.2774","-120.7102","1608.1","2016","6.3","W","86.01"," ,W","52.6","W","59.2","W","45.9","W"
"USW00023225","BLUE CANYON NYACK AIRPORT, CA US","39.2774","-120.7102","1608.1","2017",,,,,,,,,,
"USW00023225","BLUE CANYON NYACK AIRPORT, CA US","39.2774","-120.7102","1608.1","2018","5.6","W","58.70"," ,W","53.4","W","60.4","W","46.4","W"
"USW00023225","BLUE CANYON NYACK AIRPORT, CA US","39.2774","-120.7102","1608.1","2019",,,"84.27"," ,W","50.8","W","57.4","W","44.2","W"
"US1CAPC0013","NEWCASTLE 1.6 SSE, CA US","38.851","-121.123","243.8","2012",,,"38.37"," ,N",,,,,,
"US1CAPC0013","NEWCASTLE 1.6 SSE, CA US","38.851","-121.123","243.8","2015",,,"15.42"," ,N",,,,,,
"US1CAPC0013","NEWCASTLE 1.6 SSE, CA US","38.851","-121.123","243.8","2018",,,"31.11"," ,N",,,,,,
"US1CAPC0013","NEWCASTLE 1.6 SSE, CA US","38.851","-121.123","243.8","2019",,,"36.15"," ,N",,,,,,
"US1CAPC0024","APPLEGATE 0.5 SE, CA US","38.996224","-120.985965","604.4","2015",,,"25.43"," ,N",,,,,,
"US1CAPC0024","APPLEGATE 0.5 SE, CA US","38.996224","-120.985965","604.4","2016",,,"53.88"," ,N",,,,,,
"US1CAPC0024","APPLEGATE 0.5 SE, CA US","38.996224","-120.985965","604.4","2018",,,"43.66"," ,N",,,,,,
"US1CAPC0024","APPLEGATE 0.5 SE, CA US","38.996224","-120.985965","604.4","2019",,,"59.75"," ,N",,,,,,
"US1CAPC0035","ROCKLIN 2.5 W, CA US","38.808811","-121.286011","39.6","2016",,,"26.39"," ,N",,,,,,
"US1CAPC0035","ROCKLIN 2.5 W, CA US","38.808811","-121.286011","39.6","2017",,,"34.61"," ,N",,,,,,
"US1CAPC0035","ROCKLIN 2.5 W, CA US","38.808811","-121.286011","39.6","2018",,,"23.53"," ,N",,,,,,
"USC00048758","TAHOE CITY, CA US","39.1678","-120.1428","1898.9","2012",,,"37.14"," ,7","45.3","7","58.4","7","32.1","7"
"USC00048758","TAHOE CITY, CA US","39.1678","-120.1428","1898.9","2013",,,"8.99"," ,7","44.8","7","58.2","7","31.4","7"
"USC00048758","TAHOE CITY, CA US","39.1678","-120.1428","1898.9","2014",,,"24.78"," ,7","46.9","7","60.2","7","33.7","7"
"USC00048758","TAHOE CITY, CA US","39.1678","-120.1428","1898.9","2015",,,"22.61"," ,7","46.5","7","60.0","7","32.9","7"
"USC00048758","TAHOE CITY, CA US","39.1678","-120.1428","1898.9","2016",,,"38.70"," ,7","45.5","7","58.7","7","32.2","7"
"USC00048758","TAHOE CITY, CA US","39.1678","-120.1428","1898.9","2017",,,"59.80"," ,7","44.9","7","57.0","7","32.8","7"
