"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2012-01","2.25",",,,K","36.6",",K","50.5",",,,K","22.7",",,,K"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2012-02","0.51",",,,K","39.9",",K","50.9",",,,K","29.0",",,,K"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2012-03","3.44",",,,K","44.5",",K","54.8",",,,K","34.2",",,,K"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2012-04","0.84",",,,K","48.6",",K","62.8",",,,K","34.3",",,,K"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2012-06","0.49",",,,K","60.0",",K","77.9",",,,K","42.1",",,,K"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2012-07","0.83",",,,K","66.7",",K","86.5",",,,K","46.9",",,,K"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2012-08","0.06",",,,K","69.2",",K","90.5",",,,K","48.0",",,,K"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2012-09","0.12",",,,K","64.3",",K","84.6",",,,K","44.1",",,,K"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2012-11","2.56",",,,7","49.2",",7","60.9",",,,7","37.4",",,,7"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2012-12","3.91",",,,7","41.9",",7","49.3",",,,7","34.5",",,,7"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2013-01","0.43",",,,7","30.8","1,7","40.5",",,,7","21.1","1,,,7"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2013-02","0.01",",,,7","41.9",",7","51.9",",,,7","31.8",",,,7"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2013-03","0.42",",,,7","47.4",",7","62.0",",,,7","32.7",",,,7"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2013-04","0.45",",,,7","49.8",",7","65.1",",,,7","34.5",",,,7"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2013-05","0.61",",,,7","54.6",",7","69.8",",,,7","39.4",",,,7"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2013-06","0.16",",,,7","62.9",",7","81.6",",,,7","44.2",",,,7"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2013-07","0.52",",,,7","68.9",",7","89.9",",,,7","47.9",",,,7"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2013-08","0.29",",,,7","64.0",",7","84.5",",,,7","43.4",",,,7"
