"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2017-01",,,"11.32","1,a,,7","30.2","1,7","40.2","1,,,7","20.1","1,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2017-02",,,"5.61",",,,7","37.6",",7","48.2",",,,7","27.1",",,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2017-03",,,"0.05","3,,,7","43.6",",7","59.7",",,,7","27.4",",,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2017-04",,,"0.00",",,,7","47.2",",7","60.5",",,,7","34.0",",,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2017-05",,,"0.90",",,,7","53.2",",7","67.9",",,,7","38.6",",,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2017-06",,,"0.00",",,,7","64.4","1,7","79.8","1,,,7","48.9",",,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2017-07",,,"0.00",",,,7","66.7","2,7","80.9","2,,,7","52.6","2,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2017-08",,,"1.55",",,,7","64.0","1,7","78.7","1,,,7","49.3","1,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2017-09",,,"0.77",",,,7",,,,,,
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2017-10",,,"0.00",",,,7","52.8","1,7","66.9","1,,,7","38.6","1,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2017-11",,,"0.23",",,,7","49.2","1,7","59.2","1,,,7","39.2","1,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2017-12",,,"0.00",",,,7","39.5","3,7","50.2","3,,,7","28.8","3,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2018-01",,,"9.84",",,,7","39.6",",7","49.9",",,,7","29.2",",,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2018-02",,,"1.26",",,,7","33.6",",7","45.1",",,,7","22.1",",,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2018-03",,,"3.13",",,,7","36.8","1,7","46.1","1,,,7","27.6","1,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2018-04",,,"0.00",",T,,7","47.0","4,7","60.6","4,,,7","33.4","4,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2018-05",,,"0.09",",,,7","49.8","2,7","61.8","2,,,7","37.8","2,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2018-06",,,"0.00",",,,7","59.6",",7","73.9",",,,7","45.3",",,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2018-07",,,"2.19",",,,7",,,,,,
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2018-08",,,"0.61",",,,7","62.5",",7","74.7",",,,7","50.3",",,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2018-09",,,"0.00",",,,7",,,,,,
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2018-10",,,"1.27",",,,7","43.6","1,7","54.8","1,,,7","32.4","1,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2018-11",,,"10.00",",,,7","41.7",",7","52.3",",,,7","31.1",",,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2018-12",,,"5.28",",,,7","33.5",",7","45.6",",,,7","21.4",",,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2019-01",,,"3.46","1,,,7","33.5","1,7","44.3",",,,7","22.6","1,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2019-04",,,"0.00",",,,7","43.7","5,7","55.0","5,,,7","32.4","5,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2019-05",,,"1.27",",,,7","41.8","2,7","52.4","2,,,7","31.1","2,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2019-06",,,"0.00",",,,7","55.8","1,7","69.6","1,,,7","42.1","1,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2019-07",,,"0.06",",,,7","62.0",",7","75.9",",,,7","48.0",",,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2019-08",,,"0.00",",,,7","62.7",",7","77.0",",,,7","48.5",",,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2019-11",,,"2.95",",,,7","38.2","2,7","51.0","1,,,7","25.5","2,,,7"
"USC00045091","LONG VALLEY 2, CA US","33.81299","-116.64193","2554.2","2019-12",,,"3.56",",,,7","32.4",",7","43.3",",,,7","21.4",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2012-01",,,"0.21","2,,,7","60.3","2,7","77.4","2,,,7","43.2","2,,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2012-03",,,"1.18","5,,,7","58.5","5,7","73.7","5,,,7","43.3","5,,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2012-07",,,"0.03","4,,,7","78.0","4,7","93.9","4,,,7","62.2","4,,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2012-09",,,"0.00",",,,7","81.1",",7","97.1",",,,7","65.0",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2012-10",,,"0.72",",,,7","71.8",",7","86.8",",,,7","56.8",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2012-11",,,"0.39",",,,7","63.8",",7","78.3",",,,7","49.2",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2012-12",,,"1.55",",,,7","54.9",",7","65.7",",,,7","44.1",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2013-01",,,"0.73",",,,7","54.9",",7","68.7",",,,7","41.2",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2013-02",,,"0.95",",,,7","55.7",",7","69.5",",,,7","41.8",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2013-03",,,"0.59",",,,7","62.5",",7","77.0",",,,7","48.1",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2013-04",,,"0.00",",,,7","65.6",",7","79.3",",,,7","51.9",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2013-05",,,"0.06",",,,7","70.6",",7","84.3",",,,7","56.9",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2013-06",,,"0.00",",,,7","75.5",",7","89.9",",,,7","61.1",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2013-07",,,"0.20",",,,7","78.6",",7","92.6",",,,7","64.7",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2013-08",,,"1.05",",,,7","78.9",",7","95.1",",,,7","62.6",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2013-09",,,"0.00",",,,7","78.0",",7","92.6",",,,7","63.3",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2013-10",,,"0.47",",,,7","66.1",",7","81.0",",,,7","51.3",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2013-11",,,"1.15",",,,7","61.9",",7","75.4",",,,7","48.3",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2013-12",,,"0.27",",,,7","56.9",",7","70.9",",,,7","42.8",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2014-01",,,"0.00",",,,7","61.0",",7","77.4",",,,7","44.5",",,,7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2014-02",,,"1.14",",,,7","60.2",",7","73.6",",,,7","46.8",",,,7"
