"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1CASA0062","SACRAMENTO 2.7 SSW, CA US","38.53327","-121.493212","7.0","2019-12",,,"5.50","1,a,,N",,,,,,
"US1CASA0061","RANCHO CORDOVA 5.9 ESE, CA US","38.570137","-121.196535","74.1","2019-02",,,"9.31",",,,N",,,,,,
"US1CASA0061","RANCHO CORDOVA 5.9 ESE, CA US","38.570137","-121.196535","74.1","2019-03",,,"2.92",",,,N",,,,,,
"US1CASA0061","RANCHO CORDOVA 5.9 ESE, CA US","38.570137","-121.196535","74.1","2019-04",,,"0.98",",,,N",,,,,,
"US1CASA0061","RANCHO CORDOVA 5.9 ESE, CA US","38.570137","-121.196535","74.1","2019-05",,,"3.85",",,,N",,,,,,
"US1CASA0061","RANCHO CORDOVA 5.9 ESE, CA US","38.570137","-121.196535","74.1","2019-06",,,"0.00",",T,,N",,,,,,
"US1CASA0061","RANCHO CORDOVA 5.9 ESE, CA US","38.570137","-121.196535","74.1","2019-07",,,"0.00",",,,N",,,,,,
"US1CASA0061","RANCHO CORDOVA 5.9 ESE, CA US","38.570137","-121.196535","74.1","2019-08",,,"0.00",",,,N",,,,,,
"US1CASA0061","RANCHO CORDOVA 5.9 ESE, CA US","38.570137","-121.196535","74.1","2019-09",,,"0.34",",,,N",,,,,,
"US1CASA0061","RANCHO CORDOVA 5.9 ESE, CA US","38.570137","-121.196535","74.1","2019-10",,,"0.00",",,,N",,,,,,
"US1CASA0061","RANCHO CORDOVA 5.9 ESE, CA US","38.570137","-121.196535","74.1","2019-11",,,"0.45",",,,N",,,,,,
"US1CASA0061","RANCHO CORDOVA 5.9 ESE, CA US","38.570137","-121.196535","74.1","2019-12",,,"4.96",",,,N",,,,,,
"US1CASA0041","ELK GROVE 3.5 NNW, CA US","38.444143","-121.401899","10.1","2014-04",,,"2.52",",,,N",,,,,,
"US1CASA0041","ELK GROVE 3.5 NNW, CA US","38.444143","-121.401899","10.1","2014-05",,,"0.09","2,,,N",,,,,,
"US1CASA0041","ELK GROVE 3.5 NNW, CA US","38.444143","-121.401899","10.1","2014-06",,,"0.00","2,,,N",,,,,,
"US1CASA0041","ELK GROVE 3.5 NNW, CA US","38.444143","-121.401899","10.1","2014-12",,,"7.59",",,,N",,,,,,
"US1CASA0041","ELK GROVE 3.5 NNW, CA US","38.444143","-121.401899","10.1","2015-01",,,"0.04",",,,N",,,,,,
"US1CASA0063","RANCHO CORDOVA 0.7 WNW, CA US","38.59801","-121.31354","23.2","2019-08",,,"0.00",",,,N",,,,,,
"US1CASA0063","RANCHO CORDOVA 0.7 WNW, CA US","38.59801","-121.31354","23.2","2019-09",,,"0.53",",,,N",,,,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","38.635","-121.3611","29.0","2012-01",,,"3.17",",,,N",,,,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","38.635","-121.3611","29.0","2012-02",,,"0.96",",,,N",,,,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","38.635","-121.3611","29.0","2012-03",,,"5.41",",,,N",,,,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","38.635","-121.3611","29.0","2012-04",,,"4.15",",,,N",,,,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","38.635","-121.3611","29.0","2012-05",,,"0.03",",,,N",,,,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","38.635","-121.3611","29.0","2012-06",,,"0.05",",,,N",,,,,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","38.635","-121.3611","29.0","2012-07",,,"0.01",",,,N",,,,,,
