"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1CAST0010","HOLLISTER 4.7 NNE, CA US","36.918121","-121.3640555","72.5","2019-10","0.00",",,,N",,,,,,
"US1CAST0010","HOLLISTER 4.7 NNE, CA US","36.918121","-121.3640555","72.5","2019-11","0.91",",,,N",,,,,,
"US1CAST0010","HOLLISTER 4.7 NNE, CA US","36.918121","-121.3640555","72.5","2019-12","5.06",",,,N",,,,,,
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2012-01",,,"47.7",",U","55.0",",,,U","40.4",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2012-02",,,"41.7",",U","49.7",",,,U","33.7",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2012-03",,,"43.6",",U","52.2",",,,U","35.0",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2012-04",,,"49.5",",U","58.7",",,,U","40.2",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2012-05",,,"59.4",",U","70.2",",,,U","48.6",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2012-06",,,"64.4",",U","74.9",",,,U","53.8",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2012-07",,,"71.7",",U","81.4",",,,U","62.0",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2012-08",,,"77.7",",U","86.8",",,,U","68.6",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2012-09",,,"72.4",",U","81.7",",,,U","63.2",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2012-10",,,"59.2",",U","68.4",",,,U","50.0",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2012-11",,,"50.7",",U","58.0",",,,U","43.5",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2012-12",,,"39.5","4,U","45.7","2,,,U","33.3","2,,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2013-01",,,"42.2",",U","49.5",",,,U","34.9",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2013-02",,,"42.1",",U","50.4",",,,U","33.8",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2013-03",,,"48.9",",U","57.5",",,,U","40.3",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2013-04",,,"53.9",",U","63.7",",,,U","44.0",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2013-05",,,"58.0",",U","67.8",",,,U","48.3",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2013-06",,,"68.8",",U","78.8",",,,U","58.8",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2013-07",,,"76.5",",U","85.7",",,,U","67.3",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2013-08",,,"70.7",",U","79.5",",,,U","61.9",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2013-09",,,"65.4",",U","75.6",",,,U","55.3",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2013-10",,,"56.4",",U","65.1",",,,U","47.7",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2013-11",,,"50.5",",U","57.9",",,,U","43.1",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2014-02",,,"46.0","2,U","54.1","1,,,U","37.8","1,,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2014-03",,,"48.3",",U","57.3",",,,U","39.2",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2014-04",,,"52.9",",U","62.5",",,,U","43.3",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2014-05",,,"59.9",",U","70.2",",,,U","49.7",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2014-06",,,"69.3",",U","79.8",",,,U","58.9",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2014-07",,,"75.6",",U","85.0",",,,U","66.3",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2014-08",,,"71.8",",U","81.4",",,,U","62.2",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2014-09",,,"68.3",",U","78.0",",,,U","58.7",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2014-10",,,"61.5",",U","71.3",",,,U","51.7",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2014-11",,,"52.3",",U","60.2",",,,U","44.5",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2014-12",,,"50.6","1,U","57.7",",,,U","43.4","1,,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2015-03",,,"53.9",",U","62.6",",,,U","45.3",",,,U"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","2015-04",,,"51.4",",U","60.7",",,,U","42.1",",,,U"
