"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2012-01",,,"0.70",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2012-02",,,"1.55",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2012-03",,,"1.79",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2012-04",,,"1.56",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2012-05",,,"0.09",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2012-06",,,"0.02",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2012-07",,,"0.02",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2012-08",,,"0.04",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2012-09",,,"0.05",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2012-10",,,"0.63",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2012-11",,,"0.35",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2012-12",,,"2.46",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2013-01",,,"1.43",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2013-02",,,"0.52",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2013-03",,,"1.70",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2013-04",,,"0.11",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2013-05",,,"0.85",",,,N",,,,,,
"US1CASD0057","VISTA 1.2SE, CA US","33.186217","-117.231102","153.9","2013-06",,,"0.00",",,,N",,,,,,
