"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2012-01",,,"4.10",",,,K","48.7",",K","64.6",",,,K","32.8",",,,K"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2012-02",,,"1.70","2,,,7","50.8","1,7","66.3","1,,,7","35.5","1,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2012-03",,,"9.57","2,,,7","52.5","1,7","64.9","1,,,7","40.1","1,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2012-04",,,"3.74",",,,7","58.9","2,7","74.6","2,,,7","43.3","2,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2012-05",,,"0.02",",,,7","60.8","4,7","77.2","4,,,7","44.3","4,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2012-06",,,"0.12","5,,,7",,,,,,
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2012-07",,,"0.00",",,,7","69.7","2,7","88.0","2,,,7","51.3","2,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2012-08",,,"0.00",",,,7","69.7","5,7","87.2","5,,,7","52.2","5,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2012-09",,,"0.01",",,,7","66.4","3,7","84.4","3,,,7","48.4","3,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2012-10",,,"0.68","3,,,7",,,,,,
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2012-12",,,"5.42","3,,,7","49.5","2,7","61.9","2,,,7","37.2","2,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2013-02",,,"0.53","5,,,7","50.4","5,7","66.3","5,,,7","34.6","5,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2013-06",,,"0.04","1,,,7","68.3","1,7","85.1","1,,,7","51.4","1,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2013-07",,,"0.00",",,,7","71.6","2,7","88.1","2,,,7","55.0","2,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2013-08",,,"0.00",",a,,7","71.0","2,7","88.0","2,,,7","54.1","2,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2013-09",,,"0.69",",a,,7","68.6","2,7","85.2","2,,,7","52.1","2,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2013-10",,,"0.00",",a,,7","62.0","4,7","80.5","4,,,7","43.4","4,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2013-11",,,"0.62",",a,,7","55.6","4,7","71.4","4,,,7","39.8","4,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2013-12",,,"0.97","1,,,7","48.3","3,7","63.9","2,,,7","32.6","2,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2014-01",,,"0.00","1,,,7","52.8","1,7","69.9","1,,,7","35.7","1,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2014-02",,,"6.65","3,a,,7","53.8","4,7","65.8","4,,,7","41.7","4,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2014-03",,,"2.30","3,,,7",,,,,,
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2014-04",,,,,"59.5","1,7","75.3","1,,,7","43.7","1,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2014-06",,,"0.00","1,,,7","67.9","1,7","85.9","1,,,7","49.9","1,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2014-07",,,"0.10","2,,,7","71.9","2,7","88.4","2,,,7","55.3","2,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2014-08",,,"0.01","5,,,7","71.8","5,7","88.1","5,,,7","55.6","5,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2014-09",,,"0.02","1,,,7","69.7",",7","85.0",",,,7","54.4",",,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2014-10",,,"0.93","3,,,7","66.3","3,7","84.6","3,,,7","48.0","3,,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2014-11",,,"2.23",",,,7","57.8",",7","72.0",",,,7","43.7",",,,7"
"USC00049792","WOODSIDE FIRE STATION 1, CA US","37.4286","-122.2561","115.8","2015-01",,,"0.01","5,,,7","53.4","5,7","69.3","5,,,7","37.6","5,,,7"
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2017-02",,,"6.01","4,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2017-03",,,"2.18","2,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2017-04",,,"1.50",",,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2017-05",,,"0.00","1,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2017-06",,,"0.00","1,T,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2017-07",,,"0.00",",,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2017-08",,,"0.00",",T,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2017-09",,,"0.09","1,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2017-10",,,"0.12","2,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2017-11",,,"2.11","1,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2017-12",,,"0.07",",,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2018-03",,,"2.54","1,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2018-04",,,"1.29","4,a,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2018-05",,,"0.00","1,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2018-06",,,"0.00","1,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2018-07",,,"0.00",",T,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2018-08",,,"0.00",",,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2018-09",,,"0.00","1,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2018-10",,,"0.02",",,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2018-11",,,"1.47","1,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2018-12",,,"1.28","1,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2019-02",,,"6.66","1,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2019-03",,,"3.78",",,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2019-04",,,"0.32","1,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2019-05",,,"1.50","1,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2019-06",,,"0.00",",,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2019-08",,,"0.00","2,,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2019-09",,,"0.16",",,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2019-10",,,"0.00",",T,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2019-11",,,"1.20",",,,N",,,,,,
"US1CASM0034","EAST PALO ALTO 0.3 WSW, CA US","37.463695","-122.137153","4.6","2019-12",,,"2.28","2,,,N",,,,,,
