"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2012-01",,,,,"49.5","4,K","63.2","3,,,K","35.7","4,,,K"
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2012-02",,,,,"52.6","3,K","65.9","2,,,K","39.3","3,,,K"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2012-01","5.1",",W","1.48",",,,X","46.7",",X","59.7",",,,X","33.7",",,,X"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2012-02","6.7",",W","0.61",",,,X","50.9",",X","62.9",",,,X","38.9",",,,X"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2012-03","6.9",",W","2.24",",,,X","52.9",",X","63.6",",,,X","42.2",",,,X"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2012-04","7.8",",W","2.03",",,,X","60.0",",X","72.8",",,,X","47.3",",,,X"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2012-05","9.4",",W","0.05",",,,X","67.1",",X","82.8",",,,X","51.4",",,,X"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2012-06","9.8",",W","0.05",",,,X","71.1",",X","87.3",",,,X","54.9",",,,X"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2012-07","8.1",",W","0.00",",T,,X","75.1",",X","92.8",",,,X","57.3",",,,X"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2012-08","7.4",",X","0.00",",T,,X","76.9",",X","95.2",",,,X","58.6",",,,X"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2012-09","6.3",",X","0.00",",T,,X","72.9",",X","90.9",",,,X","55.0",",,,X"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2012-10","5.4",",X","0.26",",,,X","65.0",",X","78.6",",,,X","51.5",",,,X"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2012-11","4.7",",X","2.54",",,,X","55.1",",X","66.9",",,,X","43.4",",,,X"
"USW00023237","STOCKTON AIRPORT, CA US","37.8891","-121.2258","7.9","2012-12","7.2",",X","4.30",",,,X","47.1",",X","55.0",",,,X","39.1",",,,X"
