"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2012-01",,,,,"45.4",",U","65.3",",,,U","25.6",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2012-02",,,,,"45.9",",U","61.9",",,,U","29.8",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2012-03",,,,,"48.5",",U","65.4",",,,U","31.5",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2012-04",,,,,"55.1",",U","71.3",",,,U","39.0",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2012-05",,,,,"62.0",",U","83.7",",,,U","40.3",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2012-06",,,,,"67.3",",U","88.6",",,,U","46.1",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2012-07",,,,,"72.4",",U","93.9",",,,U","50.9",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2012-08",,,,,"78.2",",U","98.9",",,,U","57.4",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2012-09",,,,,"73.2",",U","94.4",",,,U","52.0",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2012-10",,,,,"60.5",",U","78.0",",,,U","42.9",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2012-11",,,,,"52.0",",U","68.6",",,,U","35.3",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2012-12",,,,,"45.3",",U","56.6",",,,U","34.0",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2013-01",,,,,"43.2",",U","59.4",",,,U","26.9",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2013-02",,,,,"44.2",",U","62.0",",,,U","26.3",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2013-03",,,,,"53.8",",U","71.2",",,,U","36.5",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2013-04",,,,,"58.8",",U","77.6",",,,U","40.0",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2013-05",,,,,"63.3",",U","82.1",",,,U","44.4",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2013-06",,,,,"71.2",",U","90.7",",,,U","51.6",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2013-07",,,,,"77.6",",U","98.1",",,,U","57.0",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2013-08",,,,,"73.5",",U","94.0",",,,U","53.0",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2013-09",,,,,"68.9",",U","87.7",",,,U","50.1",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2013-10",,,,,"57.8",",U","77.8",",,,U","37.7",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2013-11",,,,,"51.8",",U","69.8",",,,U","33.8",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2013-12",,,,,"44.2",",U","64.9",",,,U","23.4",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2014-01",,,,,"50.4",",U","71.0",",,,U","29.8",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2014-02",,,,,"49.9",",U","64.2",",,,U","35.5",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2014-03",,,,,"54.1",",U","70.0",",,,U","38.2",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2014-04",,,,,"57.3",",U","75.0",",,,U","39.7",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2014-05",,,,,"64.3",",U","84.2",",,,U","44.5",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2014-06",,,,,"70.5",",U","91.9",",,,U","49.0",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2014-07",,,,,"77.2",",U","96.1",",,,U","58.4",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2014-08",,,,,"74.7",",U","94.5",",,,U","54.8",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2014-09",,,,,"71.3",",U","90.8",",,,U","51.8",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2014-10",,,,,"63.4",",U","82.4",",,,U","44.3",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2014-11",,,,,"54.4",",U","70.0",",,,U","38.7",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2014-12",,,,,"49.0",",U","60.2",",,,U","37.8",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2015-01",,,,,"48.9",",U","65.6",",,,U","32.2",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2015-02",,,,,"53.0",",U","70.1",",,,U","35.9",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2015-03",,,,,"56.2",",U","75.3",",,,U","37.1",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2015-04",,,,,"56.3",",U","74.0",",,,U","38.6",",,,U"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2015-05",,,,,"59.9",",U","76.5",",,,U","43.2",",,,U"
