"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1CASB0009","SANTA BARBARA 6.6 NW, CA US","34.5046195983887","-119.790466308594","815.3","2015-07",,,"0.02","1,,,N",,,,,,
"US1CASB0009","SANTA BARBARA 6.6 NW, CA US","34.5046195983887","-119.790466308594","815.3","2015-08",,,"0.00",",,,N",,,,,,
"US1CASB0009","SANTA BARBARA 6.6 NW, CA US","34.5046195983887","-119.790466308594","815.3","2015-10",,,"0.24",",,,N",,,,,,
"US1CASB0009","SANTA BARBARA 6.6 NW, CA US","34.5046195983887","-119.790466308594","815.3","2016-09",,,"0.00",",,,N",,,,,,
"US1CASB0009","SANTA BARBARA 6.6 NW, CA US","34.5046195983887","-119.790466308594","815.3","2016-10",,,"1.25",",,,N",,,,,,
"US1CASB0009","SANTA BARBARA 6.6 NW, CA US","34.5046195983887","-119.790466308594","815.3","2016-11",,,"0.92",",,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2015-02",,,"0.64","4,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2015-03",,,"0.22","3,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2015-04",,,"0.26","3,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2015-06",,,"0.20","3,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2015-11",,,"0.68","5,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2015-12",,,"2.04","1,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2016-01",,,"5.06","3,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2016-02",,,"1.80","2,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2016-03",,,"2.87","5,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2016-05",,,"0.50","5,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2016-06",,,"0.00","4,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2016-07",,,"0.00","5,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2016-08",,,"0.00","5,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2016-10",,,"1.40","4,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2017-01",,,"5.04","5,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2017-02",,,"9.83","1,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2017-04",,,"0.30","4,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2017-06",,,"0.00","2,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2017-08",,,"0.00","5,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2017-09",,,"0.25","5,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2017-11",,,"0.00","4,T,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2018-01",,,"2.96",",,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2018-02",,,"0.09","2,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2018-03",,,"5.50","2,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2018-04",,,"0.02","1,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2018-05",,,"0.05",",,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2018-06",,,"0.00","5,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2018-07",,,"0.00","3,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2018-08",,,"0.00","4,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2018-09",,,"0.00","4,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2018-10",,,"0.30","2,,,N",,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2018-11",,,"1.63","5,,,N",,,,,,
