"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1CASZ0003","DAVENPORT 4.2 NW, CA US","37.065078","-122.217828","150.9","2012-01",,,"3.60",",,,N",,,,,,
"US1CASZ0003","DAVENPORT 4.2 NW, CA US","37.065078","-122.217828","150.9","2012-02",,,"1.44","5,,,N",,,,,,
"US1CASZ0003","DAVENPORT 4.2 NW, CA US","37.065078","-122.217828","150.9","2012-04",,,"2.34",",,,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12",,,"0.23","3,,,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2018-01",,,"10.42",",,,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2018-02",,,"0.37","1,,,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2018-03",,,"13.48","3,,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2012-01",,,"7.96",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2012-02",,,"2.74",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2012-03",,,"13.10",",a,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2012-04",,,"4.17",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2012-05",,,"0.00","2,,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2012-06",,,"0.19",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2012-07",,,"0.00","1,,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2012-08",,,"0.00",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2012-09",,,"0.00","1,T,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2012-10",,,"1.35",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2012-11",,,"8.10",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2012-12",,,"21.23","2,,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2013-01",,,"1.31",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2013-02",,,"0.50",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2013-03",,,"2.41",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2013-04",,,"1.06",",a,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2013-05",,,"0.02",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2013-06",,,"0.19",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2013-07",,,"0.00",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2013-08",,,"0.00",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2013-09",,,"0.37",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2013-10",,,"0.08",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2013-11",,,"1.03",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2013-12",,,"1.06",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2014-01",,,"0.06","1,,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2014-02",,,"10.13","1,,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2014-03",,,"4.90",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2014-04",,,"2.36",",,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2014-05",,,"0.00","1,,,N",,,,,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.105143","-122.046797","255.4","2014-06",,,"0.00",",,,N",,,,,,
