"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2012-01","7.60",",,,7","48.5","3,7","56.4","3,,,7","40.6","3,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2012-02","2.85",",,,7","50.4",",7","59.3",",,,7","41.6",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2012-03","19.28",",,,7","48.3","1,7","57.0",",,,7","39.6","1,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2012-04","5.30","2,,,7","56.5",",7","66.9",",,,7","46.1",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2012-05","0.60",",,,7","67.7",",7","79.8",",,,7","55.7",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2012-06","0.49",",,,7","72.6",",7","85.1",",,,7","60.1",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2012-07","0.06",",,,7","78.8",",7","95.0",",,,7","62.6",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2012-08","0.00","2,,,7","84.6",",7","98.8",",,,7","70.5",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2012-09","0.00","3,,,7","79.8",",7","94.3",",,,7","65.3",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2012-10","1.59",",,,7","66.8",",7","78.3",",,,7","55.3",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2012-11","15.61",",,,7","54.2",",7","61.2",",,,7","47.1",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2012-12","19.67",",,,7","44.6",",7","50.3",",,,7","38.8",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2013-01","0.88","1,,,7","47.5","1,7","55.8","1,,,7","39.2","1,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2013-02","0.63",",,,7","51.2",",7","61.4",",,,7","41.0",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2013-03","4.47",",,,7","56.9",",7","67.9",",,,7","46.0",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2013-04","1.84",",,,7","62.9",",7","74.1",",,,7","51.7",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2013-05","0.54",",,,7","68.7",",7","79.5",",,,7","57.8",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2013-06","3.58",",,,7","77.4",",7","89.5",",,,7","65.2",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2013-07","0.00",",,,7","84.8",",7","98.8",",,,7","70.9",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2013-08","0.00",",,,7","80.2",",7","93.4",",,,7","67.0",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2013-09","2.12",",,,7","72.8",",7","85.0",",,,7","60.6",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2013-10","0.03",",,,7","64.1",",7","75.6",",,,7","52.5",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2013-11","2.30",",,,7","56.9",",7","66.6",",,,7","47.1",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2013-12","0.32",",,,7","48.7",",7","58.0",",,,7","39.4",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2014-01","0.48",",,,7","54.0",",7","64.1",",,,7","43.8",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2014-02","13.18",",,,7","49.9",",7","58.2",",,,7","41.5",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2014-03","12.78",",,,7","55.3",",7","64.4",",,,7","46.3",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2014-04","2.18",",,,7","60.5",",7","71.7",",,,7","49.3",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2014-05","0.20","1,,,7","70.4","1,7","83.8","1,,,7","57.1","1,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2014-06","0.00","1,,,7","79.3","3,7","92.1","3,,,7","66.4","2,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2014-07","0.02",",,,7","85.0",",7","99.1",",,,7","70.9",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2014-08","0.45",",,,7","81.7",",7","95.2",",,,7","68.2",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2014-09","2.54",",,,7","77.0",",7","89.8",",,,7","64.1",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2014-10","4.97",",,,7","66.9",",7","77.4",",,,7","56.5",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2014-11","4.99","1,,,7","54.4","1,7","61.8","1,,,7","46.9","1,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2014-12","22.87",",,,7","48.9",",7","53.1",",,,7","44.8",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2015-01","0.58",",,,7","52.9",",7","61.5",",,,7","44.2",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2015-02","11.14",",,,7","56.7",",7","66.1",",,,7","47.2",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2015-03","1.15","2,,,7","60.7","2,7","71.9","2,,,7","49.6","2,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2015-04","2.07",",,,7","61.6",",7","73.3",",,,7","49.9",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2015-05","1.33",",,,7","68.7",",7","80.5",",,,7","57.0",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2015-06","1.22",",,,7","82.4",",7","96.0",",,,7","68.8",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2015-07","0.41",",,,7","83.6",",7","96.8",",,,7","70.5",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2015-08","0.52",",,,7","81.1",",7","94.6",",,,7","67.6",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2015-09","1.18",",,,7","76.4",",7","90.3",",,,7","62.4",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2015-10","0.52",",,,7","69.3",",7","81.1",",,,7","57.4",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2015-11","2.06",",,,7","52.1",",7","61.0",",,,7","43.2",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2015-12","13.04","1,,,7","44.1","3,7","50.4","3,,,7","37.9","3,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2016-01","23.31",",,,7","45.5",",7","50.2",",,,7","40.8",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2016-03","17.35",",,,7","53.8",",7","62.5",",,,7","45.1",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2016-04","1.77",",,,7","62.8",",7","74.4",",,,7","51.2",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2016-05","2.37",",,,7","67.7",",7","78.4",",,,7","57.0",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2016-06","1.46",",,,7","77.1",",7","89.9",",,,7","64.3",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2016-07","0.00",",,,7","82.9",",7","96.3",",,,7","69.4",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2016-08","0.00",",,,7","83.6",",7","97.6",",,,7","69.6",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2016-09","0.00",",,,7","77.1",",7","90.9",",,,7","63.4",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2016-10","13.08",",,,7","60.6",",7","69.0",",,,7","52.2",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2016-11","8.48","4,,,7","53.9","4,7","60.9","4,,,7","46.8","4,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2016-12","9.98","2,,,7","45.3","2,7","52.5","2,,,7","38.1","2,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2017-01","22.43",",,,7","43.6","1,7","50.6","1,,,7","36.7","1,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2017-02","25.46",",a,,7","49.7","1,7","57.6","1,,,7","41.7","1,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2017-03","7.85",",,,7","55.6","1,7","66.7","1,,,7","44.6","1,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2017-04","10.29","2,,,7","57.5","2,7","69.7","2,,,7","45.2","2,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2017-05","0.19","2,,,7","71.2","2,7","86.0","2,,,7","56.3","2,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2017-06",,,,,,,,
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2017-07","0.00",",,,7","85.9",",7","101.5",",,,7","70.4",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2017-08","0.08",",,,7","85.5","2,7","100.3","2,,,7","70.8","2,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2017-09","0.27",",,,7","76.3",",7","90.5",",,,7","62.1",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2017-10","0.49","3,,,7","67.1","3,7","81.9","3,,,7","52.2","3,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2017-11","10.37","1,a,,7","50.7","2,7","59.5","2,,,7","41.9","2,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2017-12","0.09",",,,7","50.0","3,7","60.7","3,,,7","39.2","3,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2018-01","7.37",",,,7","51.1","5,7","59.3","5,,,7","42.8","5,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2018-02","0.15",",a,,7","51.2","1,7","62.7","1,,,7","39.7","1,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2018-03","11.36","4,,,7","50.4","4,7","60.2","4,,,7","40.6","4,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2018-04","4.44",",,,7","59.5","1,7","71.0","1,,,7","48.0","1,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2018-05","2.25",",,,7","69.5","2,7","81.9","2,,,7","57.2","2,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2018-06","0.00",",,,7","77.4","1,7","90.3","1,,,7","64.4","1,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2018-07","0.00",",,,7",,,,,,
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2018-08","0.00",",,,7",,,,,,
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2018-09","0.26",",,,7","76.1","5,7","89.8","5,,,7","62.3","5,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2018-10","1.15",",,,7",,,,,,
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2018-11","10.45",",,,7","57.6","4,7","67.5","4,,,7","47.6","4,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2018-12","6.15","3,,,7","47.9","4,7","54.5","4,,,7","41.2","4,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2019-01","11.40",",,,7","49.7","3,7","57.1","3,,,7","42.2","3,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2019-02","23.49",",,,7","43.7","3,7","50.3","3,,,7","37.1","3,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2019-03","16.69","1,,,7","50.6","1,7","59.0","1,,,7","42.2","1,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2019-04","7.13",",,,7","62.0","2,7","73.1","2,,,7","50.9","2,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2019-05","7.55",",,,7","64.8","1,7","76.0","1,,,7","53.7","1,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2019-06","0.00",",,,7","79.0",",7","91.7",",,,7","66.3",",,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2019-07","0.00",",,,7","82.7","1,7","95.4","1,,,7","70.0","1,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2019-08","0.78",",,,7","82.6","3,7","96.4","3,,,7","68.8","3,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2019-09","0.56",",,,7","74.1","2,7","87.1","2,,,7","61.1","2,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2019-10","0.25",",,,7","63.6","5,7","74.8","5,,,7","52.4","5,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2019-11","2.61",",,,7","60.1","4,7","71.1","4,,,7","49.1","4,,,7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2019-12","11.81",",,,7","47.5","5,7","53.1","5,,,7","42.0","5,,,7"
