STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2013-01,,,1.34,"2,a,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2013-02,,,0.93,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2013-03,,,3.8,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2013-04,,,2.59,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2013-05,,,3.22,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2013-06,,,2.32,"1,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2013-07,,,0.06,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2013-08,,,0.01,"1,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2013-09,,,0.95,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2013-10,,,1.39,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2013-11,,,2.25,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2013-12,,,1.14,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2014-01,,,1.15,",a,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2014-02,,,6.57,"5,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2014-03,,,10.65,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2014-04,,,2.83,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2014-05,,,2.06,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2014-06,,,0.89,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2014-07,,,0.08,"4,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2014-08,,,0.82,"1,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2014-09,,,2.3,"1,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2014-10,,,3.15,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2014-11,,,5.28,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2014-12,,,13.35,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2015-01,,,0.54,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2015-02,,,2.99,"1,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2015-03,,,1.32,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2015-04,,,2.11,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2015-05,,,3.15,"1,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2015-06,,,0.28,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2015-07,,,1.03,"1,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2015-08,,,0.05,"1,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2015-09,,,1.18,"1,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2015-10,,,1.55,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2015-11,,,4.23,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2015-12,,,12.33,"3,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2016-01,,,12.29,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2016-02,,,2.5,"2,a,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2016-03,,,7.83,"5,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2016-04,,,2.71,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2016-05,,,2.81,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2016-06,,,1.77,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2016-07,,,0,"2,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2016-08,,,0.47,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2016-09,,,0,",,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2016-10,,,9.62,"1,,,N",,,,,,
US1CASH0050,"SHINGLETOWN 10.3 ENE, CA US",40.531782,-121.701081,1285.3,2016-11,,,7.56,",,,N",,,,,,
US1CASH0072,"COTTONWOOD 1.0 NW, CA US",40.39997864,-122.2935944,152.1,2017-01,,,9.3,",,,N",,,,,,
US1CASH0072,"COTTONWOOD 1.0 NW, CA US",40.39997864,-122.2935944,152.1,2017-02,,,7.13,",,,N",,,,,,
US1CASH0072,"COTTONWOOD 1.0 NW, CA US",40.39997864,-122.2935944,152.1,2017-03,,,4.58,",,,N",,,,,,
US1CASH0072,"COTTONWOOD 1.0 NW, CA US",40.39997864,-122.2935944,152.1,2017-04,,,4.43,"1,,,N",,,,,,
US1CASH0072,"COTTONWOOD 1.0 NW, CA US",40.39997864,-122.2935944,152.1,2017-05,,,0.48,",,,N",,,,,,
US1CASH0072,"COTTONWOOD 1.0 NW, CA US",40.39997864,-122.2935944,152.1,2017-06,,,0.48,",,,N",,,,,,
US1CASH0072,"COTTONWOOD 1.0 NW, CA US",40.39997864,-122.2935944,152.1,2017-07,,,0,",,,N",,,,,,
US1CASH0072,"COTTONWOOD 1.0 NW, CA US",40.39997864,-122.2935944,152.1,2017-08,,,0,",,,N",,,,,,
US1CASH0072,"COTTONWOOD 1.0 NW, CA US",40.39997864,-122.2935944,152.1,2017-09,,,0.5,",a,,N",,,,,,
USC00049390,"VOLTA PH, CA US",40.4583,-121.8663,676.7,2013-03,,,1.41,",,,7",,,,,,
USC00049390,"VOLTA PH, CA US",40.4583,-121.8663,676.7,2013-04,,,2.7,",,,7",,,,,,
USC00049390,"VOLTA PH, CA US",40.4583,-121.8663,676.7,2013-05,,,2.67,",,,7",,,,,,
USC00049390,"VOLTA PH, CA US",40.4583,-121.8663,676.7,2013-06,,,2.22,",,,7",,,,,,
USC00049390,"VOLTA PH, CA US",40.4583,-121.8663,676.7,2013-07,,,0,",,,7",,,,,,
USC00049390,"VOLTA PH, CA US",40.4583,-121.8663,676.7,2013-08,,,0,",,,7",,,,,,
USC00049390,"VOLTA PH, CA US",40.4583,-121.8663,676.7,2013-09,,,0.73,"2,,,7",,,,,,
USC00049390,"VOLTA PH, CA US",40.4583,-121.8663,676.7,2013-10,,,0.78,"2,,,7",,,,,,
USC00049390,"VOLTA PH, CA US",40.4583,-121.8663,676.7,2013-11,,,2.94,",a,,7",,,,,,
