STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
US1CASK0021,"MOUNT SHASTA 0.8 ESE, CA US",41.31835,-122.29942,1143.9,2018-06,,,0.03,",,,N",,,,,,
US1CASK0021,"MOUNT SHASTA 0.8 ESE, CA US",41.31835,-122.29942,1143.9,2018-07,,,0.54,",,,N",,,,,,
US1CASK0021,"MOUNT SHASTA 0.8 ESE, CA US",41.31835,-122.29942,1143.9,2018-08,,,0,",,,N",,,,,,
US1CASK0021,"MOUNT SHASTA 0.8 ESE, CA US",41.31835,-122.29942,1143.9,2018-09,,,0.3,"1,,,N",,,,,,
US1CASK0021,"MOUNT SHASTA 0.8 ESE, CA US",41.31835,-122.29942,1143.9,2018-10,,,0.77,",,,N",,,,,,
US1CASK0021,"MOUNT SHASTA 0.8 ESE, CA US",41.31835,-122.29942,1143.9,2018-11,,,4.3,"1,,,N",,,,,,
US1CASK0021,"MOUNT SHASTA 0.8 ESE, CA US",41.31835,-122.29942,1143.9,2018-12,,,4.49,"1,a,,N",,,,,,
US1CASK0021,"MOUNT SHASTA 0.8 ESE, CA US",41.31835,-122.29942,1143.9,2019-01,,,11.96,"2,,,N",,,,,,
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2013-01,,,0.46,",,,7",23.5,",7",34.7,",,,7",12.3,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2013-02,,,0.6,",,,7",33.2,",7",46.2,",,,7",20.1,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2013-03,,,0.28,",,,7",40.9,",7",56.8,",,,7",25.1,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2013-04,,,0.76,",,,7",44.8,",7",60.6,",,,7",29.1,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2013-05,,,1.19,",,,7",52.6,",7",69.1,",,,7",36,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2013-06,,,1.2,",,,7",61.7,",7",79.2,",,,7",44.1,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2013-07,,,0,",T,,7",69.3,",7",90.2,",,,7",48.4,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2013-08,,,0.3,",,,7",64,",7",84.4,",,,7",43.6,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2013-09,,,1.42,",,,7",57.3,",7",75.3,",,,7",39.4,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2013-10,,,0.07,",,,7",44.1,",7",63.9,",,,7",24.3,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2013-11,,,0.33,",,,7",38.8,"1,7",54.9,",,,7",22.6,"1,,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2013-12,,,0.17,",,,7",24,",7",38.2,",,,7",9.8,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2014-01,,,0.34,",,,7",32.1,",7",47.3,",,,7",16.9,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2014-02,,,1.59,",,,7",37.2,",7",49.5,",,,7",25,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2014-03,,,1.46,",,,7",42,",7",56.6,",,,7",27.4,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2014-04,,,0.5,",,,7",45.8,",7",62.9,",,,7",28.7,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2014-05,,,0.68,",,,7",53.9,",7",71.8,",,,7",35.9,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2014-06,,,0.31,",,,7",60.2,",7",79,",,,7",41.5,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2014-07,,,0.03,",,,7",71.5,",7",92.1,",,,7",50.8,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2014-08,,,0.84,",,,7",67.1,",7",86.8,",,,7",47.4,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2014-09,,,0.49,",,,7",61.2,",7",80.8,",,,7",41.5,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2014-10,,,1.21,",,,7",52.1,",7",69.5,",,,7",34.7,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2014-11,,,0.99,",,,7",40.3,",7",52.1,",,,7",28.5,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2014-12,,,2.58,",,,7",37.1,",7",44.2,",,,7",30,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2015-01,,,0.39,",,,7",36.6,",7",50.2,",,,7",22.9,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2015-02,,,1.34,",,,7",40.6,",7",55.4,",,,7",25.8,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2015-03,,,1.41,",,,7",45.2,",7",63.2,",,,7",27.3,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2015-04,,,0.19,",,,7",45.2,",7",63.4,",,,7",27,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2015-05,,,1.23,",,,7",54.3,",7",69.7,",,,7",38.8,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2015-08,,,0.06,",,,7",67,",7",87.6,",,,7",46.5,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2015-09,,,0.28,",,,7",59.1,",7",80.1,",,,7",38,",,,7"
USC00049053,"TULELAKE, CA US",41.95999,-121.47449,1230.8,2015-10,,,0.69,",,,7",53.6,"1,7",72.4,"1,,,7",34.8,",,,7"
