STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28,2017-10,,,0.2,",,,N",,,,,,
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28,2017-11,,,3.6,",a,,N",,,,,,
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28,2017-12,,,0.11,",,,N",,,,,,
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28,2018-01,,,4.9,",,,N",,,,,,
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28,2018-02,,,0.13,",,,N",,,,,,
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28,2018-04,,,5.1,",,,N",,,,,,
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28,2018-05,,,0.11,",,,N",,,,,,
US1CASN0138,"PETALUMA 1.4 W, CA US",38.2400518,-122.650773,28,2018-06,,,0,",,,N",,,,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2013-01,,,0.57,"5,a,,N",,,,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2013-02,,,0.47,"1,,,N",,,,,,
US1CASN0019,"PETALUMA 1.0 N, CA US",38.256117,-122.622904,15.8,2013-03,,,0.9,"4,,,N",,,,,,
USC00043191,"FORT ROSS, CA US",38.515,-123.2447,34.1,2013-01,,,1.2,",,,7",,,,,,
USC00043191,"FORT ROSS, CA US",38.515,-123.2447,34.1,2013-02,,,0.48,",,,7",,,,,,
USC00043191,"FORT ROSS, CA US",38.515,-123.2447,34.1,2013-04,,,1.83,"1,,,7",,,,,,
USC00043191,"FORT ROSS, CA US",38.515,-123.2447,34.1,2013-05,,,,,,,,,,
USC00043191,"FORT ROSS, CA US",38.515,-123.2447,34.1,2013-10,,,0.01,",,,7",,,,,,
USC00043191,"FORT ROSS, CA US",38.515,-123.2447,34.1,2013-11,,,1.9,",,,7",,,,,,
USC00043191,"FORT ROSS, CA US",38.515,-123.2447,34.1,2013-12,,,1.06,",,,7",,,,,,
USC00043191,"FORT ROSS, CA US",38.515,-123.2447,34.1,2014-01,,,0.44,",,,7",,,,,,
USC00043191,"FORT ROSS, CA US",38.515,-123.2447,34.1,2014-02,,,10.09,",,,7",,,,,,
