"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES"
"US1CATM0007","SONORA 3.4 E, CA US","37.9848","-120.3195","773.6","2016-01","9.24",",,,N"
"US1CATM0007","SONORA 3.4 E, CA US","37.9848","-120.3195","773.6","2016-02","1.37","3,,,N"
"US1CATM0007","SONORA 3.4 E, CA US","37.9848","-120.3195","773.6","2016-04","3.15",",,,N"
"US1CATM0007","SONORA 3.4 E, CA US","37.9848","-120.3195","773.6","2016-11","3.48","5,,,N"
"US1CATM0007","SONORA 3.4 E, CA US","37.9848","-120.3195","773.6","2017-01","17.91","3,,,N"
"US1CATM0007","SONORA 3.4 E, CA US","37.9848","-120.3195","773.6","2017-02","13.02","4,,,N"
"US1CATM0007","SONORA 3.4 E, CA US","37.9848","-120.3195","773.6","2017-03","3.97","5,,,N"
"US1CATM0007","SONORA 3.4 E, CA US","37.9848","-120.3195","773.6","2017-04","6.63","3,,,N"
"US1CATM0007","SONORA 3.4 E, CA US","37.9848","-120.3195","773.6","2019-01","6.72","5,a,,N"
"US1CATM0007","SONORA 3.4 E, CA US","37.9848","-120.3195","773.6","2019-03","9.46",",a,,N"
"US1CATM0007","SONORA 3.4 E, CA US","37.9848","-120.3195","773.6","2019-12","10.80","1,a,,N"
