"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2013-05","3.15",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2013-06","2.12",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2013-07","0.00",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2013-08","0.00",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2013-09","0.51",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2013-10","1.00",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2013-11","3.22",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2013-12","0.00",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2014-01","1.48",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2014-02","8.86",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2014-03","11.68",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2014-04","1.49",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2014-05","1.38",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2014-06","0.28",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2014-07","0.12","1,,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2014-08","4.60",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2014-09","2.48",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2014-10","4.68",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2014-11","5.14",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2014-12","12.82",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2015-01","0.71",",,,N"
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375021","-121.855933","644.0","2015-02","1.83","4,,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2013-05","0.00",",,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2013-06","0.20",",,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2013-07","0.00",",,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2013-08","0.00",",,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2013-09","1.50",",,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2013-10","0.00",",,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2013-11","1.50",",,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2013-12","0.20",",,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2014-01","0.00",",,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2014-02","7.18",",,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2014-03","5.11",",,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2014-04","0.30",",,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2014-05","1.00",",,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2014-06","0.00",",,,N"
"US1CATH0038","FLOURNOY 1.3 NE, CA US","39.929035","-122.414909","162.5","2014-07","0.00","1,,,N"
