"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2012-01","6.57",",,,7","38.8",",7","49.0",",,,7","28.7",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2012-02","1.85",",,,7","43.3",",7","56.3",",,,7","30.4",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2012-03","8.05",",,,7","43.1",",7","53.8",",,,7","32.5",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2012-04","2.15",",,,7","51.6",",7","64.8",",,,7","38.5",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2012-05","0.08",",,,7","59.7",",7","78.5",",,,7","40.9",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2012-06","0.52",",,,7","64.4","1,7","82.6","1,,,7","46.1",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2012-07","0.35",",,,7","72.6",",7","92.2",",,,7","52.9",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2012-08","0.00",",,,7","74.7",",7","97.2",",,,7","52.2",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2012-09","0.00","1,,,7","68.5","1,7","91.4","1,,,7","45.6","1,,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2012-10","0.85",",,,7","58.5",",7","76.5",",,,7","40.6",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2012-11","5.63",",,,7","47.9",",7","55.8",",,,7","40.0",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2012-12","11.39",",,,7","39.2",",7","44.9",",,,7","33.6",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2013-01","1.07",",,,7","38.0",",7","47.3",",,,7","28.7",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2013-02","0.28",",,,7","42.9",",7","58.6",",,,7","27.3",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2013-03","2.01",",,,7","50.4",",7","64.7",",,,7","36.2",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2013-04",,,,,,,,
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2013-05","1.01",",,,7","61.6",",7","77.8",",,,7","45.5",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2013-06","0.75",",,,7","68.6",",7","86.4",",,,7","50.9",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2013-07","0.04",",,,7","78.1",",7","98.2",",,,7","58.0",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2013-08","0.07",",,,7","72.6",",7","91.1",",,,7","54.0",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2013-09","1.07",",,,7","65.3",",7","83.6",",,,7","47.0",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2013-10","0.11",",,,7","53.3",",7","72.8",",,,7","33.8",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2013-11","1.41",",,,7","47.2",",7","63.1",",,,7","31.3",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2013-12","0.37",",,,7","36.6",",7","48.0",",,,7","25.2",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2014-01","0.83",",,,7","42.6",",7","55.7",",,,7","29.6",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2014-02","5.63",",,,7","45.7",",7","56.5",",,,7","34.8",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2014-03","6.67",",,,7","50.1","1,7","63.7","1,,,7","36.6",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2014-04","0.66",",,,7","55.5",",7","71.1",",,,7","39.9",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2014-05","0.23",",,,7","62.2",",7","79.9",",,,7","44.5",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2014-06","0.03",",,,7",,,,,"49.5",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2014-07","0.00",",,,7","78.9",",7","98.8",",,,7","59.1",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2014-08","0.01",",,,7","75.0",",7","94.4",",,,7","55.5",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2014-09","2.32",",,,7","69.1",",7","88.4",",,,7","49.8",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2014-10","3.78",",,,7","59.2",",7","74.5",",,,7","43.8",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2014-11","4.01",",,,7","50.1","1,7","59.3","1,,,7","40.9",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2014-12","8.07",",,,7","46.1",",7","52.1",",,,7","40.2",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2015-01","1.15",",,,7","44.8",",7","54.4",",,,7","35.2",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2015-02","4.86",",,,7","49.9",",7","61.4",",,,7","38.4",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2015-03","1.20",",,,7","53.9",",7","69.5",",,,7","38.2",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2015-04","1.03",",,,7","54.2",",7","71.0",",,,7","37.3",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2015-05","0.55",",,,7","62.9",",7","78.4",",,,7","47.3",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2015-06","0.03",",,,7",,,,,"50.1",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2015-07","1.99",",,,7","75.8",",7","94.0",",,,7","57.6",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2015-08","0.00",",,,7","73.0",",7","92.1",",,,7","53.9",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2015-09","0.57",",,,7","66.1",",7","87.1",",,,7","45.0",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2015-10","0.47","1,,,7","61.2","1,7","79.6","1,,,7","42.7","1,,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2015-11","0.90",",,,7","44.9",",7","57.9",",,,7","31.9",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2015-12","10.54",",,,7","39.0",",7","45.1",",,,7","32.8",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2016-01","10.95",",,,7","41.5",",7","47.7",",,,7","35.3",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2016-02","1.21",",,,7","47.5",",7","59.9",",,,7","35.1",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2016-03","6.61",",,,7","48.5",",7","60.0",",,,7","37.1",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2016-04","1.76",",,,7","56.7",",7","72.2",",,,7","41.3",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2016-05","1.03",",,,7","60.9",",7","76.3",",,,7","45.6",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2016-06","0.48",",,,7","68.8",",7","88.2",",,,7","49.4",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2016-07","0.00",",,,7","73.4",",7","94.5",",,,7","52.2",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2016-08","0.00",",,,7","75.1",",7","97.1",",,,7","53.0",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2016-09","0.00",",,,7","66.4",",7","88.3",",,,7","44.4",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2016-10","7.56",",,,7","54.7",",7","66.5",",,,7","42.8",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2016-11","3.68",",,,7","48.6",",7","57.8",",,,7","39.3",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2016-12","6.60",",,,7","37.9",",7","46.5",",,,7","29.3",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2017-01","9.81",",,,7","38.0",",7","45.4",",,,7","30.7",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2017-02","6.58",",,,7","43.4",",7","51.4",",,,7","35.4",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2017-03","3.96",",,,7","48.8",",7","60.2",",,,7","37.5",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2017-04","3.94",",,,7","50.4",",7","63.2",",,,7","37.6",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2017-05","0.26",",,,7","62.3",",7","80.4",",,,7","44.1",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2017-06","0.69",",,,7","69.0",",7","87.9",",,,7","50.2",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2017-07","0.00",",,,7","75.6",",7","98.0",",,,7","53.1",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2017-08","0.00",",,,7","77.1",",7","99.7",",,,7","54.4",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2017-09","0.76",",,,7","68.1",",7","89.1",",,,7","47.2",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2017-10","4.06",",,,7","55.2",",7","74.9",",,,7","35.5",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2017-11","5.18",",,,7","47.5",",7","57.0",",,,7","37.9",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2017-12","0.27",",,,7","40.3",",7","50.3",",,,7","30.2",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2018-01","3.52",",,,7","45.5",",7","50.6",",,,7","40.4",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2018-02","0.53",",,,7","42.3",",7","56.7",",,,7","27.8",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2018-03","3.45",",,,7","45.3",",7","57.3",",,,7","33.2",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2018-04","3.95",",,,7","53.3",",7","68.1",",,,7","38.6",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2018-05","0.83",",,,7","64.1",",7","81.3",",,,7","46.9",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2018-06","0.00",",,,7","68.4",",7","89.1",",,,7","47.7",",,,7"
"USC00049026","TRINITY RIVER HATCHERY, CA US","40.7263","-122.7947","567.2","2018-07","0.25",",,,7","78.1","3,7","100.4","3,,,7","55.9","3,,,7"
