"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2012-06","0.00",",,,7","49.0",",7","65.3",",,,7","32.7",",,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2012-08","0.97","1,,,7","56.5","1,7","72.6","1,,,7","40.4","1,,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2012-09","0.10",",,,7","50.7","1,7","67.5","1,,,7","34.0",",,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2012-10","1.01","1,,,7","40.9","1,7","56.3","1,,,7","25.4","1,,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2012-12","6.20",",,,7","20.1",",7","30.9",",,,7","9.3",",,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2013-01","1.37","2,,,7","22.3","1,7","41.0","1,,,7","3.7","1,,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2013-02","0.30","5,,,7",,,,,,
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2013-03","1.70","2,,,7","31.9","2,7","46.5","2,,,7","17.2","2,,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2013-05","0.49",",,,7","41.9","3,7","55.4","3,,,7","28.4","1,,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2013-06","0.00",",,,7","50.9",",7","66.9",",,,7","34.9",",,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2013-07","0.83",",,,7","56.6",",7","72.7",",,,7","40.4",",,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2013-08","0.59","1,,,7","51.7","1,7","68.3","1,,,7","35.0","1,,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2013-09","1.09","3,,,7","46.9","3,7","62.1","3,,,7","31.8","3,,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2013-11","0.30",",,,7","34.4",",7","48.3",",,,7","20.6",",,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2013-12","1.20",",,,7","25.7",",7","43.6",",,,7","7.9",",,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2014-01","1.03",",,,7","32.3",",7","47.6",",,,7","17.0",",,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2014-02","4.88",",,,7","27.0",",7","40.9",",,,7","13.2",",,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2014-03","1.74",",,,7","30.7",",7","44.9",",,,7","16.5",",,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2014-04","2.22",",,,7","35.5",",7","50.2",",,,7","20.7",",,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2014-05","1.18",",,,7","41.1",",7","55.2",",,,7","27.0",",,,7"
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2014-06","0.70",",,,7","49.2","1,7","66.1","1,,,7","32.4",",,,7"
