"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-01",,,,,"59.3",",U","69.5",",,,U","49.2",",,,U"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-02",,,,,"55.9",",U","65.4",",,,U","46.4",",,,U"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-03",,,,,"54.7",",U","63.9",",,,U","45.6",",,,U"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-04",,,,,"59.2",",U","69.0",",,,U","49.4",",,,U"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-05",,,,,"61.9",",U","71.6",",,,U","52.2",",,,U"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-06",,,,,"63.7",",U","72.5",",,,U","54.9",",,,U"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-07",,,,,"66.6",",U","76.6",",,,U","56.7",",,,U"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-08",,,,,"73.6",",U","83.6",",,,U","63.5",",,,U"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-09",,,,,"72.1",",U","83.3",",,,U","60.9",",,,U"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-10",,,,,"67.2",",U","77.3",",,,U","57.0",",,,U"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2012-11",,,,,"60.6",",U","70.1",",,,U","51.1",",,,U"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2012-01","6.3",",W","1.80",",,,W","57.6",",W","68.4",",,,W","46.9",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2012-02","7.2","1,W","0.09","1,,,W","56.0","1,W","65.3","1,,,W","46.7","1,,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2012-03","7.2",",W","2.42",",,,W","55.0",",W","63.4",",,,W","46.6",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2012-04","6.9",",W","1.90",",,,W","57.8",",W","65.7",",,,W","49.9",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2012-05","6.7",",W","0.02",",,,W","60.3",",W","67.2",",,,W","53.5",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2012-06","6.3",",W","0.00",",T,,W","63.1",",W","69.2",",,,W","57.1",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2012-07","6.3",",W","0.00",",T,,W","63.8",",W","69.6",",,,W","58.0",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2012-08","6.3",",W","0.00",",T,,W","68.5",",W","75.2",",,,W","61.8",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2012-09",,,"0.02","4,,,W",,,,,,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2012-10","5.6",",W","0.05",",,,W","64.5",",W","73.1",",,,W","55.8",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2012-11","5.1","1,W","1.42",",,,W","59.4",",W","67.7",",,,W","51.2",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2012-12","5.4",",W","1.77",",,,W","53.7",",W","61.1",",,,W","46.3",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2013-01","7.4","1,W","1.10","1,,,W","53.9","1,W","64.8","1,,,W","43.0","1,,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2013-02","7.2",",W","0.15",",,,W","53.3",",W","63.0",",,,W","43.6",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2013-03","5.4",",W","1.11",",,,W","55.9",",W","63.1",",,,W","48.7",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2013-04","6.7",",W","0.03",",,,W","58.5","1,W","65.9","1,,,W","51.2",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2013-05","6.5",",W","0.15",",,,W","61.9","1,W","69.0","1,,,W","54.8",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2013-06","5.6",",W","0.01",",,,W","64.2",",W","69.3",",,,W","59.1",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2013-07","6.3",",W","0.01",",,,W","64.9",",W","69.8",",,,W","60.1",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2013-08","5.8",",W","0.01",",,,W","64.5",",W","70.1",",,,W","58.8",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2013-09","6.0",",W","0.01",",,,W","64.1",",W","71.7",",,,W","56.4",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2013-10","6.7",",W","0.01",",,,W","60.6",",W","69.6",",,,W","51.6",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2013-11","6.0",",W","0.61",",,,W","59.5",",W","69.5",",,,W","49.5",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2013-12","6.9",",W","0.24",",,,W","55.3",",W","66.6",",,,W","44.0",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2014-01","5.4",",W","0.01",",,,W","58.5",",W","69.7",",,,W","47.3",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2014-02","4.9",",W","4.01",",,,W","56.0",",W","64.3",",,,W","47.8",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2014-03","6.7",",W","0.95",",,,W","58.9",",W","67.3",",,,W","50.6",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2014-04","7.8",",W","0.07",",,,W","58.3","2,W","66.0","2,,,W","50.6",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2014-05","7.6",",W","0.00",",T,,W",,,,,"55.0",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2014-06","6.3",",W","0.01",",,,W","63.7",",W","69.7",",,,W","57.8",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2014-07","6.7",",W","0.00",",T,,W","68.8",",W","74.6",",,,W","62.9",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2014-08","6.5","1,W","0.03","1,,,W","67.5",",W","73.7",",,,W","61.3",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2014-09","6.9",",W","0.00",",T,,W","68.3",",W","75.9",",,,W","60.6",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2014-10","5.4",",W","0.49",",,,W","67.4",",W","76.7",",,,W","58.0",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2014-11","6.7",",W","0.20",",,,W","64.2",",W","74.2",",,,W","54.1",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2014-12","6.7",",W","4.09","1,,,W","58.9",",W","67.1",",,,W","50.7",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2015-01","6.5",",W","1.64",",,,W","60.6",",W","70.6",",,,W","50.6",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2015-02","6.3",",W","0.66",",,,W","60.5",",W","69.5",",,,W","51.6",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2015-03","6.3",",W","0.21",",,,W","63.3",",W","73.7",",,,W","53.0",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2015-04","7.4",",W","0.12",",,,W","60.7",",W","70.3",",,,W","51.1",",,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2015-05","8.1",",W","0.18",",,,W","60.5","1,W","67.0","1,,,W","54.0","1,,,W"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2015-06","6.9",",W","0.17",",,,W","65.3",",W","71.1",",,,W","59.4",",,,W"
