"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2012-01","3.37",",,,7","60.5",",,,7","37.1",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2012-02","0.90",",,,7","62.9",",,,7","42.2",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2012-03","4.24",",,,7","63.8",",,,7","45.0",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2012-04","2.13",",,,7","73.1",",,,7","50.3",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2012-05","0.00",",,,7","84.5",",,,7","55.5",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2012-06","0.00",",,,7","89.0",",,,7","58.3",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2012-07","0.00",",,,7","93.1",",,,7","59.5",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2012-08","0.00","1,,,7","96.5","1,,,7","58.6","1,,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2012-09","0.00",",,,7","92.5",",,,7","56.3",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2012-10","1.05",",,,7","78.6",",,,7","54.0",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2012-11","5.43",",,,Z","66.1",",,,7","46.0",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2012-12","7.28",",,,7","56.0",",,,7","40.7",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01","0.78",",,,7","56.2",",,,7","33.7",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-02","0.45",",,,7","64.1",",,,7","37.9",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-03","1.60",",,,7","70.9",",,,7","43.6",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-04","0.71",",,,7","78.3",",,,7","51.3",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-05","0.11",",,,7","84.1",",,,7","55.5",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-06","0.40",",,,7","90.2",",,,7","58.2",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-07","0.00","1,,,7","94.4","1,,,7","59.2","1,,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-08","0.00",",,,7","93.3",",,,7","57.4",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-10","0.00",",,,7","80.0",",,,7","48.4",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-11","1.10",",,,7","69.2",",,,7","43.2",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-12","0.34",",,,7","59.6",",,,7","31.1",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2014-01","0.24",",,,7","66.3",",,,7","39.2",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2014-02","4.91",",,,7","63.5",",,,7","46.4",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2014-03","2.06",",,,7","70.5",",,,7","49.4",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2014-04","1.65",",,,7","78.0",",,,7","50.9",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2014-05","0.00",",,,7","87.1",",,,7","56.6",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2014-06","0.00",",,,7","93.7",",,,7","59.4","1,,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2014-07","0.00",",,,7","96.9",",,,7","63.5","1,,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2014-08","0.05",",,,7","93.9",",,,7","61.3",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2014-09","0.39",",,,7","91.2",",,,7","59.8",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2014-10","0.16",",,,7","82.7",",,,7","55.7",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2014-11","1.29",",,,7","65.6",",,,7","46.9","1,,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2014-12","9.31",",,,7","58.4",",,,7","48.2",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2015-03","0.00",",,,7",,,,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2015-04","1.21",",,,7",,,"51.4","3,,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2015-05","0.04",",,,7","80.8",",,,7","51.4","1,,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2015-06","0.00",",,,7","94.9",",,,7","60.6",",,,7"
