"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2013-01",,,"0.28",",,,7","44.1",",7","56.7",",,,7","31.5",",,,7"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2013-02",,,"0.25",",,,7","48.6",",7","62.6",",,,7","34.5",",,,7"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2013-03",,,"0.97",",,,7","59.4",",7","72.9",",,,7","45.8",",,,7"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2013-04",,,"0.00",",,,7","66.1",",7","79.7",",,,7","52.6",",,,7"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2013-05",,,"0.47","1,,,7","71.1","1,7","85.1","1,,,7","57.1","1,,,7"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2013-06",,,"0.00",",,,7","77.9",",7","93.9",",,,7","61.8",",,,7"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2013-07",,,"0.00",",,,7","85.8",",7","101.7",",,,7","69.9",",,,7"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2013-08",,,"0.00",",,,7","81.5",",7","96.7",",,,7","66.3",",,,7"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2013-09",,,"0.00",",,,7","74.8",",7","90.0",",,,7","59.6",",,,7"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2013-10",,,"0.00",",,,7","63.9",",7","79.6",",,,7","48.3",",,,7"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2013-11",,,"0.13",",,,7","55.7",",7","69.3",",,,7","42.1",",,,7"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2013-12",,,"0.07",",,,7","44.7",",7","59.4",",,,7","29.9",",,,7"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2014-01",,,"0.01",",,,7","50.5",",7","66.2",",,,7","34.9",",,,7"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2014-02",,,"1.21",",,,7","54.1",",7","66.0",",,,7","42.1",",,,7"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2014-03",,,"0.84",",,,7","60.2",",7","73.1",",,,7","47.3",",,,7"
