,STATION,NAME,LATITUDE,LONGITUDE,DATE,PRCP,TMAX,COUNTY
417,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2013-01,0.27,31.3,LASSEN_COUNTY.csv
418,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2013-02,0.0,48.6,LASSEN_COUNTY.csv
419,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2013-03,0.38,59.2,LASSEN_COUNTY.csv
420,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2013-04,0.71,65.0,LASSEN_COUNTY.csv
421,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2013-05,0.95,70.4,LASSEN_COUNTY.csv
422,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2013-06,0.33,81.4,LASSEN_COUNTY.csv
423,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2013-07,0.13,91.5,LASSEN_COUNTY.csv
424,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2013-08,0.0,85.8,LASSEN_COUNTY.csv
425,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2013-09,0.39,76.4,LASSEN_COUNTY.csv
426,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2013-10,0.69,62.9,LASSEN_COUNTY.csv
427,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2013-12,0.25,36.2,LASSEN_COUNTY.csv
428,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2014-01,0.72,49.7,LASSEN_COUNTY.csv
429,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2014-02,3.08,52.6,LASSEN_COUNTY.csv
430,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2014-03,1.48,57.5,LASSEN_COUNTY.csv
431,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2014-04,0.19,64.3,LASSEN_COUNTY.csv
432,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2014-07,0.42,91.8,LASSEN_COUNTY.csv
433,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2014-09,0.46,78.9,LASSEN_COUNTY.csv
434,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2014-11,2.01,54.5,LASSEN_COUNTY.csv
435,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2015-01,0.0,47.0,LASSEN_COUNTY.csv
436,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2015-02,5.73,57.2,LASSEN_COUNTY.csv
437,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2015-03,0.11,63.1,LASSEN_COUNTY.csv
438,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2015-05,3.11,68.8,LASSEN_COUNTY.csv
439,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2015-07,0.76,85.8,LASSEN_COUNTY.csv
440,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2015-09,0.0,81.0,LASSEN_COUNTY.csv
441,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2015-10,0.93,71.1,LASSEN_COUNTY.csv
442,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2015-11,3.2,46.5,LASSEN_COUNTY.csv
443,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2016-01,2.55,42.3,LASSEN_COUNTY.csv
444,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2016-04,1.12,64.6,LASSEN_COUNTY.csv
445,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2016-06,0.0,82.7,LASSEN_COUNTY.csv
446,USC00042506,"DOYLE 4 SSE, CA US",39.9717,-120.0828,2016-10,3.58,64.1,LASSEN_COUNTY.csv
617,USC00048702,"SUSANVILLE 2 SW, CA US",40.4167,-120.6631,2013-01,0.4,31.3,LASSEN_COUNTY.csv
618,USC00048702,"SUSANVILLE 2 SW, CA US",40.4167,-120.6631,2013-02,0.01,47.3,LASSEN_COUNTY.csv
619,USC00048702,"SUSANVILLE 2 SW, CA US",40.4167,-120.6631,2013-03,0.26,59.5,LASSEN_COUNTY.csv
