,AcresBurned,ArchiveYear,Counties,CountyIds,CrewsInvolved,Fatalities,Latitude,Longitude,Name,PersonnelInvolved,Started,StructuresDamaged,StructuresDestroyed,UniqueId,Year,Month,Year-Month
0,257314.0,2013,Tuolumne,55,,,37.857,-120.086,Rim Fire,,2013-08-17 15:25:00+00:00,,,5fb18d4d-213f-4d83-a179-daaf11939e78,2013,08,2013-08
1,30274.0,2013,Los Angeles,19,,,34.585595,-118.423176,Powerhouse Fire,,2013-05-30 15:28:00+00:00,,,bf37805e-1cc2-4208-9972-753e47874c87,2013,05,2013-05
2,27531.0,2013,Riverside,33,,,33.7095,-116.72885,Mountain Fire,,2013-07-15 13:43:00+00:00,,,a3149fec-4d48-427c-8b2c-59e8b79d59db,2013,07,2013-07
3,27440.0,2013,Placer,31,,,39.12,-120.65,American Fire,,2013-08-10 16:30:00+00:00,,,8213f5c7-34fa-403b-a4bc-da2ace6e6625,2013,08,2013-08
4,24251.0,2013,Ventura,56,47.0,,0.0,0.0,Springs Fire,2167.0,2013-05-02 07:01:00+00:00,6.0,10.0,46731fb8-3350-4920-bdf7-910ac0eb715c,2013,05,2013-05
5,22992.0,2013,Fresno,10,,,37.279,-119.318,Aspen Fire,,2013-07-22 22:15:00+00:00,,,bee8c339-4f26-4b78-a5b4-a8a0ebdb8786,2013,07,2013-07
6,20292.0,2013,Riverside,33,63.0,,33.86157,-116.90427,Silver Fire,2106.0,2013-08-07 14:05:00+00:00,8.0,40.0,c400203b-a7fd-4bd8-803a-f3c74bc32a2b,2013,08,2013-08
7,14754.0,2013,Siskiyou,47,,,41.32,-123.176,Salmon River Complex,,2013-07-31 22:00:00+00:00,,,ba76c009-09c9-497c-b923-1ac8cf05c20d,2013,07,2013-07
8,12503.0,2013,Humboldt,12,,,41.035,-123.488,Corral Complex,,2013-08-10 11:40:00+00:00,,,f3dcbca8-f8ed-46d0-8f6e-9c7fc2fb03e6,2013,08,2013-08
9,11429.0,2013,Tehama,52,30.0,,40.042629999999996,-121.85396999999999,Deer Fire,898.0,2013-08-23 14:15:00+00:00,,,956dbcf6-db40-4b61-b235-4ede14738f1e,2013,08,2013-08
10,8073.0,2013,Shasta,45,12.0,,40.498332,-122.535496,Clover Fire,342.0,2013-09-09 12:32:00+00:00,10.0,201.0,92af9783-eda9-4186-afe9-447f61a92636,2013,09,2013-09
