AcresBurned,Counties,Name,UniqueId
410203,Colusa,Ranch Fire (Mendocino Complex),90b0daf7-5d84-42d9-bb35-bb78d4faf950
281893,Santa Barbara,Thomas Fire,d28bc34e-73a8-454d-9e55-dea7bdd40bee
257314,Tuolumne,Rim Fire,5fb18d4d-213f-4d83-a179-daaf11939e78
229651,Shasta,Carr Fire,240b1f55-0f4e-448d-a4ce-3ecfec7a6c9d
153336,Butte,Camp Fire,75dafe80-f18a-4a4a-9a37-4b564c5f6014
151623,Fresno,Rough Fire ,8c788c0a-d1fc-46d7-a17c-23f786831f7d
132127,Monterey,Soberanes Fire,977ac7ce-4204-4cd3-9f89-727142165261
97717,El Dorado,King Fire,3df6ecf7-f095-483d-b1c4-2dc969d61261
96949,Los Angeles,Woolsey Fire,92d7aeea-7abf-47a4-bf76-a4fe0fac65c6
96901,Mariposa,Ferguson Fire,29d15973-a999-409e-adf4-486854df44ed
90288,Napa,County Fire,97ff14e8-6d08-4214-ad3b-847fa3a0e84a
83733,Lassen,Long Valley Fire,f7b03fae-de58-4674-9f4f-d3e9d2762d84
83120,Modoc,Modoc July Complex,8caf9d17-d9c3-42e4-a622-30799080c4b9
81826,Mariposa,Detwiler Fire,9feb25c4-d3ae-4f78-9fc9-a1ad2b308e42
78698,Siskiyou,Eclipse Complex,490ae25d-c3d8-4a90-9e75-0ad85e0f629f
77758,Sonoma,Kincade Fire,809d101c-8aa3-4a53-bf20-f38ae7ec7941
77081,Trinity,River Complex,7c83452f-e6f0-47af-aa25-1d0fff3a594f
69438,Lake,Rocky Fire,23e85238-2966-452c-8f21-fa93a51e889b
63311,Shasta,Delta Fire,ba818380-4001-46a2-ac04-d5f322cdf3b9
56556,Napa,Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),be79d28c-767d-4a0d-b168-e86a5842004f
54612,Plumas,Walker Fire,3a48b649-8714-433d-9952-ff2bf9e8c90a
